"COND","CITY","YEAR","SLIM","SIGN","LGHT","BLTE","TFFC","EXPR","WGHT"
2,12,1,7,4,8,16,1,759.285714285714,2.66711615388969
2,12,1,7,4,8,16,1,759.285714285714,2.66711615388969
2,12,1,7,4,8,16,1,759.285714285714,2.66711615388969
2,12,1,7,4,5,56,3,183.095238095238,2.09017217123333
2,12,1,7,4,8,10,3,1320.17857142857,2.33772652388797
2,12,1,9,1,16,66,2,238,4.69090909090909
2,12,1,9,1,16,66,2,238,4.69090909090909
2,12,1,7,1,8,14,2,625.535714285714,1.90056860135855
23,12,1,7,4,12,48,2,294.285714285714,3.07142857142856
2,12,1,7,4,25,16,2,201,2.66711615388969
8,12,1,11,1,20,17,4,17.9761904761905,1
2,12,1,7,1,21,9,2,456.904761904762,1.89738327347357
23,12,1,7,4,3,48,2,1139.52380952381,3.07142857142856
2,12,1,7,1,12,45,3,144.107142857143,4.69090909090909
9,12,1,7,1,16,16,2,145.678571428571,2.22550904081547
2,12,1,7,4,25,56,2,86,2.09017217123333
2,12,1,7,4,10,90,2,520.714285714286,2.43661460225208
2,12,1,7,4,7,10,3,504.285714285714,2.33772652388797
2,12,1,7,1,12,16,2,648.125,2.22550904081547
2,12,1,7,4,8,20,2,641.071428571429,2.24573150318045
2,12,1,7,3,21,16,2,253.690476190476,2.7520209677788
2,12,1,7,4,1,47,4,197.857142857143,4.69090909090909
9,12,1,7,4,20,56,2,257.619047619048,2.09017217123333
2,12,1,7,4,8,36,2,1179.28571428571,2.63310086749447
2,12,1,7,4,8,36,2,1179.28571428571,2.63310086749447
23,12,1,7,1,8,16,2,878.928571428571,2.22550904081547
23,6,1,10,1,3,34,1,513.214285714286,1.57022471910112
2,6,1,8,1,8,54,1,962.321428571429,1.60467083132146
2,6,1,10,1,25,73,1,217.095238095238,1.3578947368421
2,6,1,10,1,21,77,1,700.47619047619,2.69874476987448
2,6,1,10,1,34,34,1,394.416666666667,1.57022471910112
2,6,1,10,1,21,73,1,542.738095238095,1.3578947368421
2,6,1,6,1,20,14,1,515,1.90056860135855
9,5,1,12,1,29,57,3,222.708333333333,3.37254901960784
23,5,1,9,1,25,68,3,448.333333333333,1.39750606556452
24,5,1,8,1,12,54,3,356.785714285714,1.41539991776391
23,5,1,10,1,21,61,4,637.261904761905,1.08122765931221
2,7,1,9,1,33,14,4,295.333333333333,1.90056860135855
2,5,1,6,3,34,36,2,660.5,2.89278206026629
2,5,1,6,3,34,36,2,660.5,2.89278206026629
2,5,1,6,3,34,36,2,660.5,2.89278206026629
23,5,1,8,1,25,54,3,217.190476190476,1.41539991776391
2,5,1,11,1,29,95,2,942.708333333333,1
23,5,1,9,3,21,55,4,165.47619047619,3.37254901960784
23,5,1,11,1,29,21,1,415.833333333333,1.78959537572254
24,5,1,8,1,21,72,4,165.47619047619,3.37254901960784
2,3,1,11,1,20,65,2,537.5,2.00282286520819
2,3,1,9,1,21,44,3,898.690476190476,1.83702531645569
2,11,1,13,1,28,13,2,1533.95833333333,4.69090909090909
2,3,1,10,3,21,40,2,976.666666666667,3.2099533437014
23,3,1,10,4,29,78,3,1172.29166666667,1.35551663747811
2,3,1,12,1,28,95,4,810.416666666667,1.09090909090909
23,3,1,13,1,21,79,4,540,2.43971631205674
23,7,1,13,1,25,79,4,112.095238095238,2.43971631205674
2,7,1,9,1,21,17,2,730.833333333333,1
2,7,1,6,1,8,14,3,300.892857142857,1.90056860135855
2,7,1,6,6,8,16,2,869.464285714286,2.54213214182114
2,3,1,8,1,25,28,2,258.714285714286,4.69090909090909
24,7,1,13,1,29,11,2,490.416666666667,1
9,7,1,7,4,1,27,2,2620.83333333333,2.38985098670962
9,7,1,6,4,12,48,2,1062.94642857143,3.07142857142856
2,7,1,6,6,8,16,2,1855,2.54213214182114
2,2,2,10,1,21,53,1,584.166666666667,1.64856230031949
24,11,2,14,1,34,61,4,438.583333333333,1.1882958547819
2,8,2,8,3,3,32,1,387.142857142857,4.69090909090909
23,8,2,12,1,29,95,4,462.083333333333,1.09090909090909
2,8,2,9,1,1,20,1,705.595238095238,1.99124027647877
2,8,2,8,1,25,68,3,220.857142857143,1.58171019860783
2,8,2,8,1,34,54,3,554.75,1.60467083132146
2,9,2,8,1,8,60,1,892.142857142857,2.02194357366771
2,6,2,7,3,12,56,1,157.410714285714,2.05498809208785
2,9,2,10,1,11,38,3,491.785714285714,1.46759118503771
2,2,2,9,3,10,20,1,304.107142857143,1.95315826827537
2,9,2,14,1,24,57,2,154.761904761905,4.69090909090909
2,9,2,10,1,20,29,4,305.833333333333,2.064
2,10,2,8,1,12,20,4,262.053571428571,1.99124027647877
2,8,2,8,1,21,56,4,571.190476190476,1.77007795371782
2,8,2,8,1,12,54,1,395.357142857143,1.60467083132146
2,8,2,4,1,8,16,1,814.642857142857,2.22550904081547
2,8,2,4,1,8,16,1,814.642857142857,2.22550904081547
2,9,2,11,1,9,11,2,295.428571428571,1
2,8,2,6,1,1,14,2,445.47619047619,1.90056860135855
2,8,2,9,1,12,84,3,709.553571428571,2.01346210125841
2,9,2,10,1,10,18,3,316.785714285714,1.665559970358
2,8,2,14,1,34,79,4,337.083333333333,2.43971631205674
2,11,2,12,1,21,22,4,338.928571428571,1.72051358614512
2,8,2,8,1,21,22,4,705.714285714286,1.72051358614512
2,8,2,8,1,29,56,1,502.708333333333,1.77007795371782
2,8,2,8,1,34,101,4,363.166666666667,2.28094302554027
18,9,2,8,1,5,30,2,198.428571428571,1.8942731277533
2,8,2,8,3,17,56,4,123.607142857143,2.05498809208785
2,10,2,6,3,10,16,1,270.803571428571,2.7520209677788
2,8,2,8,3,8,59,1,1308.39285714286,4.69090909090909
2,8,2,14,1,29,79,4,1178.125,2.43971631205674
9,10,2,6,4,1,56,2,2189.16666666667,2.09017217123333
22,8,2,1,1,1,2,1,203.690476190476,3.22574075702923
2,8,2,12,1,24,61,1,106.047619047619,1.1882958547819
2,8,2,9,1,1,103,4,347.261904761905,1
2,9,2,8,3,13,20,2,917.589285714286,1.95315826827537
2,8,2,14,1,34,61,4,0.333333333333333,1.1882958547819
2,8,2,8,3,8,75,3,613.214285714286,1.9017199017199
2,9,2,10,1,25,29,2,220.666666666667,2.064
2,8,2,9,1,21,101,4,401.428571428571,2.28094302554027
9,8,2,8,1,21,68,4,602.380952380952,1.58171019860783
3,9,2,14,1,33,79,4,304.333333333333,2.43971631205674
2,10,2,6,4,29,56,3,1631.66666666667,2.09017217123333
2,11,2,6,1,9,14,1,495.428571428571,1.90056860135855
