Mag,Hora Local,Latitud,Longitud,Prof,Region,Status,Ciudad mas cercana,Hora UTC,Last Update
,,,,(km),,,,,
3.6,12/05/2016 23:33,1.83ø S,80.96ø W,5,Near Coast of Ecuador,M,"35.24km Puerto Lopez,Manabi",13/05/2016 4:33,13/05/2016 4:42
3.8,12/05/2016 21:47,0.69ø N,80.57ø W,2,Near Coast of Ecuador,M,"61.72km Muisne,Esmeraldas",13/05/2016 2:47,13/05/2016 2:52
4.1,12/05/2016 9:18,0.65ø S,81.15ø W,5,Off Coast of Ecuador,M,"60.46km Manta,Manabi",12/05/2016 14:18,12/05/2016 14:37
4.2,11/05/2016 18:04,0.00ø N,80.28ø W,10,Near Coast of Ecuador,M,"22.55km Jama,Manabi",11/05/2016 23:04,11/05/2016 23:09
3.9,10/05/2016 8:17,2.31ø S,81.38ø W,5,Near Coast of Ecuador,M,"47.83km Salinas,Santa Elena",10/05/2016 13:17,10/05/2016 13:23
3.7,09/05/2016 19:12,2.54ø S,80.11ø W,17,Near Coast of Ecuador,M,"32.59km Playas,Guayas",10/05/2016 0:12,10/05/2016 0:17
4.2,09/05/2016 12:32,4.37ø S,77.70ø W,1,Northern Peru,M,"132.27km Yantzaza,Zamora Chinchipe",09/05/2016 17:32,09/05/2016 17:41
4.1,09/05/2016 7:49,0.35ø S,80.31ø W,10,Ecuador - Manabi,M,"17.25km Jama,Manabi",09/05/2016 12:49,09/05/2016 12:56
3.7,08/05/2016 17:58,0.29ø S,79.70ø W,25,Ecuador - Manabi,M,"26.20km Flavio Alfaro,Manabi",08/05/2016 22:58,08/05/2016 23:05
3.5,08/05/2016 14:06,1.62ø S,80.98ø W,1,Near Coast of Ecuador,M,"20.85km Puerto Lopez,Manabi",08/05/2016 19:06,08/05/2016 19:12
3.6,08/05/2016 13:02,3.26ø S,80.75ø W,8,Peru-Ecuador Border Region,M,"63.32km Huaquillas,El Oro",08/05/2016 18:02,08/05/2016 18:07
3.6,07/05/2016 22:13,0.11ø N,80.29ø W,4,Near Coast of Ecuador,M,"26.86km Pedernales,Manabi",08/05/2016 3:13,08/05/2016 3:16
3.6,07/05/2016 19:08,0.16ø S,80.68ø W,5,Near Coast of Ecuador,M,"46.56km Jama,Manabi",08/05/2016 0:08,08/05/2016 0:40
3.5,07/05/2016 18:56,4.10ø S,79.95ø W,108,Ecuador - Loja,M,"30.72km Macara,Loja",07/05/2016 23:56,08/05/2016 0:02
4.4,07/05/2016 16:46,1.13ø S,81.34ø W,-,Off Coast of Ecuador,M,"72.29km Manta,Manabi",07/05/2016 21:46,13/07/2016 15:24
3.9,06/05/2016 23:37,2.72ø S,80.17ø W,6,Ecuador - Guayas,M,"26.44km Playas,Guayas",07/05/2016 4:37,07/05/2016 4:49
3.1,06/05/2016 19:01,0.19ø N,80.12ø W,16,Near Coast of Ecuador,M,"14.79km Pedernales,Manabi",07/05/2016 0:01,14/07/2016 21:34
3.7,06/05/2016 15:41,0.03ø S,80.21ø W,7,Near Coast of Ecuador,M,"19.69km Jama,Manabi",06/05/2016 20:41,14/07/2016 21:29
3.5,06/05/2016 6:08,0.92ø N,79.95ø W,6,Near Coast of Ecuador,M,"12.69km Atacames,Esmeraldas",06/05/2016 11:08,14/07/2016 20:45
4.4,06/05/2016 3:37,0.16ø S,81.05ø W,5,Off Coast of Ecuador,M,"85.68km Bahia de Caraquez,Manabi",06/05/2016 8:37,14/07/2016 20:40
3.6,06/05/2016 3:23,1.20ø S,80.98ø W,-,Ecuador - Manabi,M,"39.30km Montecristi,Manabi",06/05/2016 8:23,14/07/2016 20:38
3.8,06/05/2016 1:47,1.50ø S,80.95ø W,6,Near Coast of Ecuador,M,"17.41km Puerto Lopez,Manabi",06/05/2016 6:47,14/07/2016 20:36
4.1,06/05/2016 0:21,2.81ø S,78.07ø W,5,Ecuador - Morona Santiago,M,"40.78km Sucua,Morona Santiago",06/05/2016 5:21,06/05/2016 5:30
3.4,06/05/2016 0:11,1.54ø S,81.02ø W,5,Off Coast of Ecuador,M,"24.01km Puerto Lopez,Manabi",06/05/2016 5:11,06/05/2016 5:25
3.7,05/05/2016 23:40,0.18ø S,80.81ø W,2,Near Coast of Ecuador,M,"61.05km Jama,Manabi",06/05/2016 4:40,14/07/2016 20:34
3.4,05/05/2016 23:25,1.57ø S,81.05ø W,-,Off Coast of Ecuador,M,"27.50km Puerto Lopez,Manabi",06/05/2016 4:25,14/07/2016 16:07
3.5,05/05/2016 21:51,1.14ø S,81.01ø W,-,Off Coast of Ecuador,M,"38.13km Manta,Manabi",06/05/2016 2:51,14/07/2016 16:03
3.2,05/05/2016 21:38,0.64ø N,80.18ø W,6,Near Coast of Ecuador,M,"17.73km Muisne,Esmeraldas",06/05/2016 2:38,14/07/2016 20:29
4.3,05/05/2016 21:05,0.62ø N,80.16ø W,7,Near Coast of Ecuador,M,"15.82km Muisne,Esmeraldas",06/05/2016 2:05,14/07/2016 16:00
3.4,05/05/2016 20:18,0.11ø S,80.96ø W,5,Near Coast of Ecuador,M,"77.86km Jama,Manabi",06/05/2016 1:18,14/07/2016 15:58
3.2,05/05/2016 20:13,1.51ø S,80.93ø W,5,Near Coast of Ecuador,M,"14.78km Puerto Lopez,Manabi",06/05/2016 1:13,06/05/2016 1:17
3.5,05/05/2016 20:07,1.53ø S,80.91ø W,-,Near Coast of Ecuador,M,"12.24km Puerto Lopez,Manabi",06/05/2016 1:07,14/07/2016 15:55
3,05/05/2016 20:02,0.30ø S,80.03ø W,19,Ecuador - Manabi,M,"18.64km Flavio Alfaro,Manabi",06/05/2016 1:02,14/07/2016 20:21
3.6,05/05/2016 19:48,2.66ø S,77.09ø W,21,Ecuador - Morona Santiago,M,"120.55km Macas,Morona Santiago",06/05/2016 0:48,06/05/2016 0:55
3.1,05/05/2016 18:18,0.46ø N,80.14ø W,10,Near Coast of Ecuador,M,"21.03km Muisne,Esmeraldas",05/05/2016 23:18,14/07/2016 20:15
3.6,05/05/2016 17:40,0.10ø S,80.95ø W,2,Near Coast of Ecuador,M,"76.71km Jama,Manabi",05/05/2016 22:40,14/07/2016 20:11
3.6,05/05/2016 14:25,0.09ø S,80.26ø W,7,Near Coast of Ecuador,M,"12.22km Jama,Manabi",05/05/2016 19:25,14/07/2016 19:42
3.5,05/05/2016 14:23,0.09ø S,80.33ø W,12,Near Coast of Ecuador,M,"14.38km Jama,Manabi",05/05/2016 19:23,14/07/2016 19:39
3.8,05/05/2016 13:20,1.57ø S,81.26ø W,10,Off Coast of Ecuador,M,"50.67km Puerto Lopez,Manabi",05/05/2016 18:20,05/05/2016 18:30
3.3,05/05/2016 12:42,0.12ø S,80.73ø W,5,Near Coast of Ecuador,M,"52.49km Jama,Manabi",05/05/2016 17:42,14/07/2016 17:39
4.6,05/05/2016 11:06,0.18ø S,80.98ø W,3,Near Coast of Ecuador,M,"78.32km Bahia de Caraquez,Manabi",05/05/2016 16:06,14/07/2016 17:34
3.8,05/05/2016 10:15,1.56ø S,81.23ø W,19,Off Coast of Ecuador,M,"47.31km Puerto Lopez,Manabi",05/05/2016 15:15,05/05/2016 15:26
4.1,05/05/2016 10:08,1.26ø S,81.32ø W,10,Off Coast of Ecuador,M,"65.98km Puerto Lopez,Manabi",05/05/2016 15:08,05/05/2016 15:32
4.5,05/05/2016 8:34,0.17ø S,80.98ø W,5,Near Coast of Ecuador,M,"79.35km Bahia de Caraquez,Manabi",05/05/2016 13:34,14/07/2016 17:27
3.2,05/05/2016 6:57,0.75ø N,80.26ø W,9,Near Coast of Ecuador,M,"30.44km Muisne,Esmeraldas",05/05/2016 11:57,14/07/2016 17:26
3.2,05/05/2016 4:50,0.11ø S,80.32ø W,10,Near Coast of Ecuador,M,"11.59km Jama,Manabi",05/05/2016 9:50,14/07/2016 17:24
3.1,05/05/2016 1:07,1.65ø S,80.94ø W,2,Near Coast of Ecuador,M,"18.22km Puerto Lopez,Manabi",05/05/2016 6:07,14/07/2016 17:10
3.9,04/05/2016 19:39,0.25ø S,80.51ø W,7,Near Coast of Ecuador,M,"27.94km Jama,Manabi",05/05/2016 0:39,05/05/2016 0:45
3.6,04/05/2016 18:40,1.56ø S,81.09ø W,5,Off Coast of Ecuador,M,"31.75km Puerto Lopez,Manabi",04/05/2016 23:40,04/05/2016 23:56
4.9,04/05/2016 17:28,1.27ø S,81.15ø W,5,Off Coast of Ecuador,M,"49.73km Puerto Lopez,Manabi",04/05/2016 22:28,04/05/2016 22:38
3.1,04/05/2016 15:21,2.03ø S,77.40ø W,10,Ecuador - Pastaza,M,"85.24km Macas,Morona Santiago",04/05/2016 20:21,04/05/2016 20:26
3.2,04/05/2016 12:06,0.04ø S,80.52ø W,9,Near Coast of Ecuador,M,"33.75km Jama,Manabi",04/05/2016 17:06,04/05/2016 20:20
4.7,04/05/2016 11:38,1.55ø S,80.96ø W,5,Near Coast of Ecuador,M,"17.29km Puerto Lopez,Manabi",04/05/2016 16:38,04/05/2016 17:21
3.5,04/05/2016 11:01,1.28ø S,81.04ø W,10,Off Coast of Ecuador,M,"40.17km Puerto Lopez,Manabi",04/05/2016 16:01,04/05/2016 16:09
3.6,04/05/2016 8:36,2.07ø S,77.36ø W,10,Ecuador - Pastaza,M,"87.97km Macas,Morona Santiago",04/05/2016 13:36,04/05/2016 13:41
4.7,03/05/2016 22:28,2.87ø S,85.29ø W,10,Off Coast of Ecuador,M,"486.66km Salinas,Santa Elena",04/05/2016 3:28,04/05/2016 3:36
3.5,03/05/2016 20:21,0.46ø N,79.95ø W,4,Near Coast of Ecuador,M,"18.61km Muisne,Esmeraldas",04/05/2016 1:21,04/05/2016 1:27
3.8,03/05/2016 16:04,1.42ø S,81.28ø W,10,Off Coast of Ecuador,M,"54.92km Puerto Lopez,Manabi",03/05/2016 21:04,03/05/2016 21:19
3.7,03/05/2016 12:26,1.57ø S,80.98ø W,5,Near Coast of Ecuador,M,"19.59km Puerto Lopez,Manabi",03/05/2016 17:26,03/05/2016 17:45
3.8,03/05/2016 9:41,1.58ø S,80.90ø W,5,Near Coast of Ecuador,M,"11.00km Puerto Lopez,Manabi",03/05/2016 14:41,03/05/2016 15:05
4.8,02/05/2016 22:44,0.41ø N,79.92ø W,13,Near Coast of Ecuador,M,"25.06km Muisne,Esmeraldas",03/05/2016 3:44,03/05/2016 17:48
3.6,02/05/2016 17:59,4.55ø S,77.76ø W,100,Northern Peru,M,"137.04km Yantzaza,Zamora Chinchipe",02/05/2016 22:59,03/05/2016 3:20
3.6,02/05/2016 13:03,1.52ø S,80.91ø W,5,Near Coast of Ecuador,M,"12.32km Puerto Lopez,Manabi",02/05/2016 18:03,02/05/2016 18:07
3.6,02/05/2016 11:06,0.67ø S,77.75ø W,1,Ecuador - Napo,M,"36.98km Tena,Napo",02/05/2016 16:06,02/05/2016 16:10
3.1,02/05/2016 10:25,0.19ø S,80.36ø W,11,Near Coast of Ecuador,M,"10.82km Jama,Manabi",02/05/2016 15:25,02/05/2016 15:32
4.1,01/05/2016 21:04,0.13ø S,80.79ø W,10,Near Coast of Ecuador,M,"59.11km Jama,Manabi",02/05/2016 2:04,02/05/2016 2:09
3.8,01/05/2016 20:25,0.09ø S,80.71ø W,3,Near Coast of Ecuador,M,"51.21km Jama,Manabi",02/05/2016 1:25,02/05/2016 1:28
4.2,01/05/2016 17:55,0.10ø S,80.73ø W,2,Near Coast of Ecuador,M,"53.12km Jama,Manabi",01/05/2016 22:55,01/05/2016 22:59
3.7,01/05/2016 17:36,0.07ø S,80.74ø W,10,Near Coast of Ecuador,M,"55.00km Jama,Manabi",01/05/2016 22:36,01/05/2016 22:41
