date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-05-28 11:50:06,RS1140218,114,Senate,218,2015-06-23,,On the Cloture Motion,"A bill to amend the Internal Revenue Code of 1986 to allow Federal law enforcement officers, firefighters, and air traffic controllers to make penalty-free withdrawals from governmental plans after age 50, and for other purposes.",,,,,,,,-0.187,-0.096,-0.125,0.084,0.486,0.804,-37.265,0.681
2017-05-28 11:50:06,RS1140219,114,Senate,219,2015-06-24,,On the Motion,"A bill to amend the Internal Revenue Code of 1986 to allow Federal law enforcement officers, firefighters, and air traffic controllers to make penalty-free withdrawals from governmental plans after age 50, and for other purposes.",,,,,,,,-0.182,-0.101,-0.126,0.086,0.526,0.816,-37.526,0.682
2017-05-28 11:50:06,RS1140220,114,Senate,220,2015-06-24,,On the Cloture Motion,"An act to extend the African Growth and Opportunity Act, the Generalized System of Preferences, the preferential duty treatment program for Haiti, and for other purposes.",,,,,,,,0.481,0.103,0.354,0.786,0.682,0.929,-19.646,0.818
2017-05-28 11:50:06,RS1140221,114,Senate,221,2015-07-07,,On the Nomination,"Kara Farnandez Stoll, of Virginia, to be United States Circuit Judge for the Federal Circuit",,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140222,114,Senate,222,2015-07-08,,On the Amendment,To amend the Elementary and Secondary Education Act of 1965 regarding school librarians and effective school library programs.,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140223,114,Senate,223,2015-07-08,,On the Amendment,"To amend section 1111(b)(2)(B)(xi) to provide for additional disaggregation for local educational agencies with a total of not less than 1,000 Asian and Native Hawaiian or Pacific Islander students.",,,,,,,,0.138,-0.077,0.219,0.153,0.915,0.959,-12.433,0.88
2017-05-28 11:50:06,RS1140224,114,Senate,224,2015-07-08,,On the Amendment,To restore sections of the Elementary and Secondary Education Act of 1965.,,,,,,,,0.268,-0.127,0.159,-0.208,0.61,0.835,-34.96,0.697
2017-05-28 11:50:06,RS1140225,114,Senate,225,2015-07-08,,On the Amendment,"To allow States to let Federal funds for the education of disadvantaged children follow low-income children to the accredited or otherwise State-approved public school, private school, or supplemental educational services program they attend.",,,,,,,,0.278,-0.072,-0.289,-0.125,0.911,0.959,-15.167,0.855
2017-05-28 11:50:06,RS1140226,114,Senate,226,2015-07-09,,On the Amendment,To allow a State to submit a declaration of intent to the Secretary of Education to combine certain funds to improve the academic achievement of students.,,,,,,,,0.312,-0.061,-0.44,-0.249,0.909,0.959,-10.336,0.9
2017-05-28 11:50:06,RS1140227,114,Senate,227,2015-07-09,,On the Amendment,To amend part A of title IV of the Elementary and Secondary Education Act of 1965 to allow funds provided under such part to be used for a site resource coordinator.,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140228,114,Senate,228,2015-07-09,,On the Amendment,"To ensure that States have policies or procedures that prohibit aiding or abetting of sexual abuse, and for other purposes.",,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140229,114,Senate,229,2015-07-09,,On the Cloture Motion,"An act to authorize appropriations for fiscal year 2016 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal yea, and for other purposes.",,,,,,,,-0.617,-0.332,-0.153,-0.015,0.067,0.854,-33.013,0.709
2017-05-28 11:50:06,RS1140230,114,Senate,230,2015-07-09,,On the Motion,"An act to authorize appropriations for fiscal year 2016 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal yea, and for other purposes.",,,,,,,,0.001,-0.056,0.243,-0.333,0.977,0.99,-7.608,0.924
2017-05-28 11:50:06,RS1140231,114,Senate,231,2015-07-13,,On the Amendment,To establish a committee on student privacy policy.,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140232,114,Senate,232,2015-07-14,,On the Amendment,To expand opportunity by allowing Title I funds to follow low-income children.,,,,,,,,0.259,-0.107,-0.324,0.229,0.911,0.958,-13.404,0.87
2017-05-28 11:50:06,RS1140233,114,Senate,233,2015-07-14,,On the Amendment,To require a State's report card to include information on the graduation rates of homeless children and children in foster care.,,,,,,,,0.308,-0.034,0.212,0.292,0.75,0.896,-21.305,0.801
2017-05-28 11:50:06,RS1140234,114,Senate,234,2015-07-14,,On the Amendment,"To require local educational agencies to inform parents of any State or local educational agency policy, procedure, or parental right regarding student participation in any mandated assessments for that school year.",,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140235,114,Senate,235,2015-07-14,,On the Amendment,To amend the Elementary and Secondary Education Act of 1965 relating to parental notification and opt-out of assessments.,,,,,,,,0.402,0.011,-0.268,-0.365,0.625,0.875,-26.301,0.76
2017-05-28 11:50:06,RS1140236,114,Senate,236,2015-07-14,,On the Amendment,To end discrimination based on actual or perceived sexual orientation or gender identity in public schools.,,,,,,,,0.214,-0.033,0.261,0.609,0.911,0.959,-11.059,0.892
