"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",52.717995,0.288560096265343,1.42471230383271,49.6366325,51.9668,52.9511,53.6647,54.64946,24.3770866687456,1.01818107950352
"CL",5.32828775,0.0235371373078751,0.143718179773374,5.0053865,5.250445,5.330695,5.3911525,5.6135025,37.2834535868722,1.02047109522596
"Q",7.3778675,0.612203952983085,1.54786907539291,5.275264,6.2346225,7.16496,8.196805,10.4360275,6.39258024374934,1.1212948649046
"VC",20.0119775,0.950892975022079,4.20917104558834,13.11702,16.787575,19.36545,23.3616,27.316855,19.5943053058496,1.09281041381507
"VP",93.3024825,9.78806777895058,44.3800535108694,48.4295325,60.363325,81.72165,108.62575,215.94065,20.5580400139709,1.19009009538663
"ka",1.26531,0.0742253043820188,0.334668767689135,0.839716425,1.0296575,1.160345,1.5161575,1.89755575,20.3294858305522,1.05027805668042
"sigma",0.18805655,0.00314451196387636,0.0198876398709968,0.1549643,0.17770975,0.188491,0.198582,0.22560035,40,0.962943156110744
