Arsenal,71,65,36
Aston Villa,17,27,76
Bournemouth,42,45,67
Chelsea,50,59,53
Crystal Palace,42,39,51
Everton,47,59,55
Leicester,81,68,36
Liverpool,60,63,50
Man City,66.1,71,41
Man United,66,49,35
Newcastle,37,44,65
Norwich,34,39,67
Southampton,63,59,41
Stoke,51,41,55
Sunderland,39,48,62
Swansea,47,42,52
Tottenham,70,69,35
Watford,45,40,50
West Brom,43,34,48
West Ham,62,65,51
