# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 16
# data
#   file = ti.dat
# init = 2 (Default)
# random
#   seed = 2282494900
# output
#   file = ti.30modes.16.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30
-29200.8,1,0.000976562,2,3,0,131076,4.27137,0.211813,0.315019,0.838845,1.29687,4.27137,1.29687,1.29687,0,0,0,1.29687,4.27137,1.29687,0,0,0,1.29687,1.29687,4.27137,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,90.7412,158.298,167.928,168.974,173.133,176.817,188.013,204.664,252.902,254.701,261.214,271.436,276.615,287.641,288.076,288.987,314.811,320.421,322.814,326.267,323.907,336.649,353.699,355.1,355.947,358.803,369.576,387.573,395.458,399.466
-29200.8,0,14.3855,0,1,1,29202.8,4.27137,0.211813,0.315019,0.838845,1.29687,4.27137,1.29687,1.29687,0,0,0,1.29687,4.27137,1.29687,0,0,0,1.29687,1.29687,4.27137,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,92.2498,161.138,166.211,167.273,173.377,176.565,187.876,203.839,252.225,253.705,262.075,271.394,275.794,287.327,287.74,289.229,315.802,320.409,322.354,325.183,326.026,336.952,353.325,354.903,356.071,357.972,367.931,386.196,394.565,397.678
-29200.8,0,2.43117,0,1,1,29204.5,4.27137,0.211813,0.315019,0.838845,1.29687,4.27137,1.29687,1.29687,0,0,0,1.29687,4.27137,1.29687,0,0,0,1.29687,1.29687,4.27137,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,91.9972,159.591,166.892,168.553,174.743,176.415,188.615,205.691,253.447,255.15,262.702,271.05,273.93,285.435,288.185,288.468,315.342,321.477,323.073,324.597,324.496,336.89,352.103,356.486,355.838,358.815,369.274,387.671,395.924,397.681
-29200.8,0,0.239791,0,1,1,29201.2,4.27137,0.211813,0.315019,0.838845,1.29687,4.27137,1.29687,1.29687,0,0,0,1.29687,4.27137,1.29687,0,0,0,1.29687,1.29687,4.27137,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,90.7661,159.294,168.653,169.064,172.924,176.108,189.206,204.362,252.761,256.914,260.575,272.272,276.645,286.34,287.46,289.851,314.796,318.186,322.104,324.402,324.026,337.594,352.937,355.812,355.468,358.476,369.117,386.751,394.72,397.531
-29200.8,0,0.0186273,0,1,1,29202.5,4.27137,0.211813,0.315019,0.838845,1.29687,4.27137,1.29687,1.29687,0,0,0,1.29687,4.27137,1.29687,0,0,0,1.29687,1.29687,4.27137,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,0,0,0,0,0,0,0.315019,91.3655,159.038,168.558,167.909,173.341,176.574,188.609,203.957,252.2,254.014,263.529,272.463,275.459,286.627,287.518,288.976,315.881,320.175,322.594,324.513,324.711,337.447,352.356,356.014,355.753,358.644,367.808,387.445,396.868,397.837
-8590.54,1,0.00130482,1,1,0,22229.2,4.22483,0.217337,0.26881,0.880697,1.75116,4.22483,1.75116,1.75116,0,0,0,1.75116,4.22483,1.75116,0,0,0,1.75116,1.75116,4.22483,0,0,0,0,0,0,0.26881,0,0,0,0,0,0,0.26881,0,0,0,0,0,0,0.26881,84.6782,146.883,154.332,155.417,161.001,162.437,173.938,189.375,233.93,236.169,241.847,250.731,254.263,264.814,264.518,268.458,291.854,295.888,300.024,300.927,302.289,310.539,326.62,329.424,330.262,330.198,340.624,360.306,366.281,368.836
-6191.09,1,0.00189104,2,3,0,7465.13,4.19907,0.222545,0.244898,0.9052,1.99819,4.19907,1.99819,1.99819,0,0,0,1.99819,4.19907,1.99819,0,0,0,1.99819,1.99819,4.19907,0,0,0,0,0,0,0.244898,0,0,0,0,0,0,0.244898,0,0,0,0,0,0,0.244898,80.4874,140.662,147.377,149.387,152.098,156.8,167.305,180.705,223.592,226.597,231.637,240.337,241.934,252.837,253.602,254.12,277.247,283.355,284.998,285.858,286.108,295.28,311.652,313.227,314.418,316.119,325.882,341.28,349.458,350.843
-6191.09,4.6557e-26,0.00305706,1,3,1,6192.09,4.19907,0.222545,0.244898,0.9052,1.99819,4.19907,1.99819,1.99819,0,0,0,1.99819,4.19907,1.99819,0,0,0,1.99819,1.99819,4.19907,0,0,0,0,0,0,0.244898,0,0,0,0,0,0,0.244898,0,0,0,0,0,0,0.244898,78.7245,140.436,147.435,149.46,152.482,156.239,167.835,181.593,223.286,225.522,231.177,240.152,242.441,253.635,253.795,254.815,276.863,284.387,284.706,285.836,285.777,293.681,311.586,313.818,315.029,316.071,324.633,341.236,349.648,349.728
-6155.83,0.996729,0.000228818,2,3,0,6192.62,4.19883,0.222639,0.24535,0.906406,1.99482,4.19883,1.99482,1.99482,0,0,0,1.99482,4.19883,1.99482,0,0,0,1.99482,1.99482,4.19883,0,0,0,0,0,0,0.24535,0,0,0,0,0,0,0.24535,0,0,0,0,0,0,0.24535,80.7115,141.478,148.335,148.494,153.295,155.376,166.407,180.821,222.568,224.293,232.803,239.094,243.635,252.428,253.429,255.101,279.115,284.237,285.55,286.757,287.205,295.339,312.41,314.245,315.248,318.497,326.375,342.623,348.63,349.847
-5892.43,1,0.00040444,3,7,0,6155.03,4.2027,0.223696,0.247872,0.920129,1.98655,4.2027,1.98655,1.98655,0,0,0,1.98655,4.2027,1.98655,0,0,0,1.98655,1.98655,4.2027,0,0,0,0,0,0,0.247872,0,0,0,0,0,0,0.247872,0,0,0,0,0,0,0.247872,81.9767,142.201,149.242,149.134,153.71,157.716,167.675,181.719,224.015,226.175,234.138,241.337,245.055,257.414,255.782,257.354,279.253,285.805,286.154,288.912,289.517,294.851,312.219,315.748,316.255,318.39,328.176,342.973,351.954,351.26
-5854.95,1,0.000750635,1,1,0,5893.32,4.19919,0.223948,0.248089,0.922386,1.98359,4.19919,1.98359,1.98359,0,0,0,1.98359,4.19919,1.98359,0,0,0,1.98359,1.98359,4.19919,0,0,0,0,0,0,0.248089,0,0,0,0,0,0,0.248089,0,0,0,0,0,0,0.248089,83.1917,141.505,148.108,150.934,154.016,156.129,167.207,181.937,224.922,226.834,232.732,240.485,244.723,255.567,255.006,256.859,280.809,285.487,287.409,287.649,288.143,296.048,312.361,315.089,314.525,318.526,326.354,343.903,351.441,352.271
-3092.18,1,0.00142715,5,31,0,5835.65,4.23636,0.251754,0.254509,1.20213,2.21447,4.23636,2.21447,2.21447,0,0,0,2.21447,4.23636,2.21447,0,0,0,2.21447,2.21447,4.23636,0,0,0,0,0,0,0.254509,0,0,0,0,0,0,0.254509,0,0,0,0,0,0,0.254509,81.8941,145.414,148.944,149.975,155.623,160.329,168.872,181.444,226.641,226.348,235.739,243.458,244.66,257.304,256.496,261.326,280.57,284.268,286.612,289.176,291.997,292.594,310.647,312.377,317.411,320.737,329.751,340.585,342.16,354.644
-1974.11,1,0.00275155,3,7,0,3073.68,4.25216,0.276074,0.262122,1.45427,2.35323,4.25216,2.35323,2.35323,0,0,0,2.35323,4.25216,2.35323,0,0,0,2.35323,2.35323,4.25216,0,0,0,0,0,0,0.262122,0,0,0,0,0,0,0.262122,0,0,0,0,0,0,0.262122,84.7306,143.565,153.14,153.479,154.964,158.892,171.691,186.745,227.246,231.175,233.289,245.48,250.424,260.932,259.511,261.971,271.599,279.199,288.528,293.29,293.961,295.807,309.112,306.392,318.516,323.615,329.262,333.6,340.376,357.413
-1768.29,1,0.00534123,1,1,0,1965.62,4.28581,0.278426,0.261201,1.53563,2.40954,4.28581,2.40954,2.40954,0,0,0,2.40954,4.28581,2.40954,0,0,0,2.40954,2.40954,4.28581,0,0,0,0,0,0,0.261201,0,0,0,0,0,0,0.261201,0,0,0,0,0,0,0.261201,85.1503,145.59,148.34,151.697,153.666,155.427,171.031,187.883,225.738,232.303,234.054,243.487,248.249,261.297,260.557,262.194,270.349,280.961,290.184,290.328,292.623,293.903,305.99,306.337,319.593,319.115,329.95,331.902,339.994,357.496
-1768.29,1.38464e-77,0.0103858,1,1,0,1770.61,4.28581,0.278426,0.261201,1.53563,2.40954,4.28581,2.40954,2.40954,0,0,0,2.40954,4.28581,2.40954,0,0,0,2.40954,2.40954,4.28581,0,0,0,0,0,0,0.261201,0,0,0,0,0,0,0.261201,0,0,0,0,0,0,0.261201,83.1918,143.347,148.541,152.191,153.553,160.929,170.394,185.041,227.766,227.515,235.958,241.084,248.098,259.277,259.204,258.685,269.514,280.165,286.575,288.301,293.008,293.435,309.118,307.544,320.765,322.164,331.674,332.97,336.297,358.548
-1754.22,0.960962,0.000909415,2,3,0,1770.86,4.28607,0.278438,0.260644,1.5429,2.41389,4.28607,2.41389,2.41389,0,0,0,2.41389,4.28607,2.41389,0,0,0,2.41389,2.41389,4.28607,0,0,0,0,0,0,0.260644,0,0,0,0,0,0,0.260644,0,0,0,0,0,0,0.260644,84.5968,146.508,150.718,150.632,156.866,158.797,172.711,184.606,227.733,229.852,234.212,244.166,246.039,259.784,261.127,262.494,274.57,280.329,287.623,292.48,290.59,291.317,307.932,303.317,317.863,324.803,327.924,332.499,338.468,353.778
-327.381,0.91997,0.00159166,7,127,0,1753.64,3.84733,0.600878,0.323491,41.6444,2.7706,3.84733,2.7706,2.7706,0,0,0,2.7706,3.84733,2.7706,0,0,0,2.7706,2.7706,3.84733,0,0,0,0,0,0,0.323491,0,0,0,0,0,0,0.323491,0,0,0,0,0,0,0.323491,103.636,122.192,152.365,100.298,185.376,177.277,124.009,253.991,206.094,208.801,195.007,253.439,267.095,220.184,253.752,279.225,293.682,270.019,273.111,325.799,291.998,333.096,252.628,296.008,278.072,275.342,358.485,360.911,300.467,368.984
-316.733,1,0.00244955,4,15,0,329.443,3.86001,0.597562,0.317704,40.6451,2.79668,3.86001,2.79668,2.79668,0,0,0,2.79668,3.86001,2.79668,0,0,0,2.79668,2.79668,3.86001,0,0,0,0,0,0,0.317704,0,0,0,0,0,0,0.317704,0,0,0,0,0,0,0.317704,4.8321,127.553,162.16,139.049,206.828,179.713,220.548,217.982,221.664,255.324,146.172,221.094,295.108,228.844,255.881,316.268,251.049,310.059,240.265,319.649,318.173,236.508,231.278,326.501,295.623,305.181,301.466,318.944,312.379,335.022
-318.375,0.992464,0.00478985,2,3,0,320.1,3.85286,0.594176,0.31712,40.7969,2.78543,3.85286,2.78543,2.78543,0,0,0,2.78543,3.85286,2.78543,0,0,0,2.78543,2.78543,3.85286,0,0,0,0,0,0,0.31712,0,0,0,0,0,0,0.31712,0,0,0,0,0,0,0.31712,65.052,155.675,210.862,94.5813,121.572,235.833,99.2648,183.109,321.445,224.498,265.277,197.404,203.375,168.634,272.631,175.91,218.966,246.252,227.473,320.02,317.306,292.105,313.227,287.86,282.757,256.607,375.213,285.554,255.813,274.425
-226.842,1,0.00908312,3,7,0,318.285,3.97257,0.570985,0.323072,31.4649,2.84094,3.97257,2.84094,2.84094,0,0,0,2.84094,3.97257,2.84094,0,0,0,2.84094,2.84094,3.97257,0,0,0,0,0,0,0.323072,0,0,0,0,0,0,0.323072,0,0,0,0,0,0,0.323072,132.67,113.512,160.157,201.338,129.139,174.819,168.223,181.221,254.516,243.581,184.297,340.953,178.759,254.749,229.563,291.399,254.373,225.093,290.068,360.333,246.67,304.688,280.599,276.727,288.525,318.72,311.643,290.47,380.954,332.951
-190.065,1,0.0174664,2,3,0,226.112,4.05429,0.578645,0.330147,26.9946,2.91319,4.05429,2.91319,2.91319,0,0,0,2.91319,4.05429,2.91319,0,0,0,2.91319,2.91319,4.05429,0,0,0,0,0,0,0.330147,0,0,0,0,0,0,0.330147,0,0,0,0,0,0,0.330147,132.595,138.54,155.478,201.81,174.908,170.116,188.353,203.398,232.077,212.445,198.522,269.752,282.945,234.822,256.473,322.055,289.903,294.775,280.237,309.184,310.966,305.489,304.094,345.181,314.966,340.364,310.813,347.771,335.308,385.742
-137.987,1,0.0332703,2,3,0,189.113,3.72794,0.566177,0.343792,19.2411,2.5135,3.72794,2.5135,2.5135,0,0,0,2.5135,3.72794,2.5135,0,0,0,2.5135,2.5135,3.72794,0,0,0,0,0,0,0.343792,0,0,0,0,0,0,0.343792,0,0,0,0,0,0,0.343792,97.8249,145.574,119.276,143.56,161.161,201.01,172.014,250.101,237.816,223.842,249.471,258.727,257.011,255.686,253.454,267.045,296.436,278.073,259.89,285.809,288.434,302.627,286.674,318.302,333.862,333.498,339.399,360.963,335.294,323.343
