"","V1","V2","V3"
"155",0.641886,0.839319,0.829023
"156",0.663356,0.84657,0.844043
"157",0.657233,0.837129,0.843962
"158",0.642295,0.839311,0.830124
"159",0.652857,0.83289,0.843007
"160",0.661871,0.846439,0.844078
"161",0.639851,0.839035,0.830808
"162",0.65863,0.844783,0.843808
"163",0.655348,0.835508,0.843826
"164",0.654934,0.840188,0.844042
"165",0.664329,0.847195,0.843583
"166",0.661219,0.845862,0.845492
"167",0.640029,0.836586,0.838777
"168",0.632415,0.833572,0.835717
"169",0.63086,0.833412,0.834321
"170",0.667171,0.846167,0.847524
"171",0.65425,0.836039,0.843883
"172",0.634241,0.835502,0.835875
"173",0.631516,0.832668,0.834494
"174",0.664176,0.846618,0.843076
"175",0.655396,0.843575,0.843238
"176",0.632054,0.832061,0.83539
"177",0.655975,0.84023,0.843571
"178",0.664642,0.847221,0.84672
"179",0.629246,0.831178,0.834167
"180",0.641219,0.830304,0.839556
"181",0.646094,0.840575,0.832579
"182",0.637087,0.837198,0.835803
"183",0.662416,0.845409,0.846112
"184",0.638666,0.837671,0.835871
"185",0.638665,0.838645,0.831185
"186",0.632445,0.832176,0.836018
"187",0.649122,0.831788,0.841862
"188",0.642062,0.839617,0.82974
"189",0.664892,0.847491,0.847424
"190",0.665556,0.847511,0.845222
"191",0.650225,0.842585,0.835149
"192",0.64261,0.839977,0.828667
"193",0.662733,0.846572,0.844326
"194",0.657023,0.840781,0.844956
"195",0.634252,0.835819,0.83522
"196",0.655371,0.843678,0.839417
"197",0.649517,0.841703,0.839053
"198",0.665104,0.847395,0.844493
"199",0.666903,0.847281,0.846337
"200",0.660965,0.845511,0.845745
"201",0.640548,0.83248,0.838833
"202",0.660532,0.845691,0.845683
"203",0.66219,0.844991,0.846492
"204",0.643374,0.839768,0.83287
"205",0.631258,0.834568,0.834141
"206",0.64958,0.832942,0.842047
"207",0.63275,0.8346,0.835421
"208",0.635306,0.836208,0.835785
"209",0.646059,0.83296,0.840967
"210",0.663915,0.846882,0.845574
"211",0.637322,0.837481,0.835579
"212",0.64237,0.839706,0.829882
"213",0.644616,0.840462,0.830199
"214",0.646954,0.841228,0.832775
"215",0.630817,0.834459,0.834758
"216",0.638982,0.835484,0.838751
"217",0.652302,0.830543,0.842943
"218",0.629877,0.831919,0.834843
"219",0.65278,0.839797,0.843294
"220",0.650809,0.841948,0.839973
"221",0.642602,0.839483,0.831491
"222",0.662109,0.846349,0.84234
"223",0.665671,0.84799,0.842429
"224",0.661478,0.846414,0.843938
"225",0.634915,0.83652,0.836194
"226",0.650902,0.842431,0.841693
"227",0.658911,0.845025,0.842895
"228",0.65258,0.841678,0.842675
"229",0.631907,0.833459,0.835499
"230",0.665203,0.847733,0.841485
"231",0.651735,0.8325,0.842955
"232",0.63131,0.833431,0.834591
"233",0.667659,0.848085,0.843948
"234",0.634506,0.836362,0.83654
"235",0.63982,0.837953,0.827173
"236",0.663543,0.846681,0.843607
"237",0.667215,0.848036,0.843463
"238",0.663909,0.846474,0.843292
"239",0.660688,0.846675,0.840785
"240",0.632936,0.835217,0.833139
"241",0.666362,0.847456,0.846208
"242",0.63514,0.836391,0.836165
"243",0.658491,0.845272,0.841683
"244",0.663903,0.847092,0.844516
"245",0.664379,0.846353,0.841674
"246",0.666801,0.848308,0.843431
"247",0.636721,0.83652,0.838252
"248",0.663184,0.846691,0.844135
"249",0.650814,0.84226,0.836465
"250",0.644565,0.840056,0.834605
"251",0.645027,0.841096,0.838526
"252",0.650017,0.842911,0.831977
"253",0.657797,0.844846,0.839364
"254",0.663643,0.846998,0.844709
"255",0.657653,0.838074,0.844514
"256",0.64613,0.833099,0.84104
"257",0.647171,0.832535,0.841219
"258",0.638141,0.838022,0.833175
"259",0.658349,0.845319,0.842565
"260",0.667193,0.846842,0.847125
"261",0.630632,0.835385,0.834304
"262",0.663209,0.847077,0.8435
"263",0.638649,0.837697,0.83423
"264",0.666274,0.846887,0.847416
"265",0.643426,0.840056,0.830943
"266",0.652108,0.836233,0.842761
"267",0.661711,0.846586,0.844944
"268",0.638106,0.835097,0.837647
"269",0.66237,0.846532,0.84554
"270",0.666966,0.847999,0.847943
"271",0.645945,0.840623,0.829176
"272",0.659916,0.845363,0.844222
"273",0.647956,0.842054,0.834908
"274",0.653542,0.844086,0.835489
"275",0.638191,0.838257,0.838612
"276",0.640087,0.837992,0.834525
"277",0.63544,0.833759,0.836671
"278",0.638211,0.837801,0.827423
"279",0.642509,0.839138,0.834769
"280",0.644526,0.840653,0.832143
"281",0.665804,0.84721,0.844348
"282",0.63542,0.833489,0.837349
"283",0.634103,0.833828,0.836249
"284",0.659973,0.846122,0.840737
"285",0.660093,0.845514,0.844694
"286",0.666596,0.847819,0.843239
"287",0.653288,0.839715,0.843362
"288",0.658672,0.838277,0.844511
"289",0.661662,0.845953,0.841428
"290",0.655109,0.835649,0.843774
"291",0.654276,0.843282,0.837781
"292",0.661402,0.846186,0.843484
"293",0.654695,0.83997,0.843603
"294",0.662296,0.84614,0.845881
"295",0.630354,0.833103,0.834406
"296",0.660264,0.845816,0.841873
"297",0.637479,0.836615,0.837561
"298",0.632903,0.833916,0.834949
"299",0.66064,0.843414,0.845328
"300",0.661907,0.846077,0.844491
"301",0.658144,0.840754,0.844906
"302",0.651736,0.835218,0.843016
"303",0.642322,0.837169,0.839066
"304",0.634737,0.831061,0.836399
"305",0.655242,0.843974,0.843441
"306",0.638079,0.837666,0.832516
"307",0.630705,0.830948,0.834463
"308",0.660518,0.843007,0.845457
"309",0.633122,0.833008,0.8356
"310",0.631011,0.831585,0.835438
"311",0.630179,0.829973,0.835235
"312",0.663365,0.846195,0.8452
"313",0.635682,0.836245,0.837242
"314",0.666351,0.847556,0.846008
"315",0.662854,0.846054,0.845542
"316",0.659547,0.845403,0.840507
"317",0.639167,0.836297,0.838687
"318",0.660774,0.846015,0.842052
"319",0.634144,0.832601,0.836336
"320",0.641083,0.838584,0.835964
"321",0.643173,0.839937,0.830364
"322",0.655614,0.844215,0.837187
"323",0.629732,0.831255,0.834181
"324",0.660741,0.845552,0.843768
"325",0.654578,0.834064,0.843479
"326",0.660519,0.845624,0.842657
"327",0.643545,0.833509,0.840821
"328",0.647725,0.841871,0.835266
"329",0.662707,0.846602,0.845165
"330",0.645645,0.840685,0.838476
"331",0.640084,0.833476,0.838618
"332",0.642736,0.839774,0.831435
"333",0.663991,0.846667,0.845114
"334",0.653863,0.842559,0.843157
"335",0.63763,0.837657,0.832763
"336",0.640058,0.838551,0.830976
"337",0.660164,0.843722,0.845549
"338",0.652293,0.843422,0.835924
"339",0.634636,0.834808,0.836632
"340",0.65951,0.844311,0.845377
