# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 14
# data
#   file = cmsx4.20modes.dat
# init = 2 (Default)
# random
#   seed = 2282922541
# output
#   file = cmsx4.20modes.14.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,cu.1,cu.2,cu.3,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,q.1,q.2,q.3,q.4,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20
-2211.93,1,0.00195312,1,1,0,226536,2.90388,1.25892,0.906491,0.72082,0.687139,-0.583974,-0.560674,1.46377,2.99876,1.45818,1.37449,0.0133013,-0.0905566,0.0284419,1.45818,2.91211,1.46114,-0.0250916,-0.00316195,-0.0289937,1.37449,1.46114,2.99579,0.0117903,0.0937185,0.000551841,0.0133013,-0.0250916,0.0117903,0.903863,0.000551841,-0.00316195,-0.0905566,-0.00316195,0.0937185,0.000551841,0.81721,0.0133013,0.0284419,-0.0289937,0.000551841,-0.00316195,0.0133013,0.900896,0.621602,0.549517,-0.404484,-0.384754,72.765,82.6788,88.0596,111.881,120.229,122.17,129.243,130.522,143.031,145.264,144.784,151.208,152.607,155.223,168.238,171.107,173.653,176.608,181.005,185.25
-2211.93,0,14.3855,0,1,1,2216.28,2.90388,1.25892,0.906491,0.72082,0.687139,-0.583974,-0.560674,1.46377,2.99876,1.45818,1.37449,0.0133013,-0.0905566,0.0284419,1.45818,2.91211,1.46114,-0.0250916,-0.00316195,-0.0289937,1.37449,1.46114,2.99579,0.0117903,0.0937185,0.000551841,0.0133013,-0.0250916,0.0117903,0.903863,0.000551841,-0.00316195,-0.0905566,-0.00316195,0.0937185,0.000551841,0.81721,0.0133013,0.0284419,-0.0289937,0.000551841,-0.00316195,0.0133013,0.900896,0.621602,0.549517,-0.404484,-0.384754,72.1564,84.274,90.0728,111.916,120.993,122.069,126.947,130.763,142.322,144.829,146.406,150.955,152.163,155.764,169.444,170.691,173.203,176.989,181.957,185.466
-2211.93,0,2.43117,0,1,1,2215.51,2.90388,1.25892,0.906491,0.72082,0.687139,-0.583974,-0.560674,1.46377,2.99876,1.45818,1.37449,0.0133013,-0.0905566,0.0284419,1.45818,2.91211,1.46114,-0.0250916,-0.00316195,-0.0289937,1.37449,1.46114,2.99579,0.0117903,0.0937185,0.000551841,0.0133013,-0.0250916,0.0117903,0.903863,0.000551841,-0.00316195,-0.0905566,-0.00316195,0.0937185,0.000551841,0.81721,0.0133013,0.0284419,-0.0289937,0.000551841,-0.00316195,0.0133013,0.900896,0.621602,0.549517,-0.404484,-0.384754,71.9823,84.0427,88.9859,112.264,121.075,120.951,129.007,129.114,145.241,145.041,145.945,150.96,151.689,154.955,168.717,169.553,172.989,176.664,182.471,185.402
-2211.93,0,0.239791,0,1,1,2218.51,2.90388,1.25892,0.906491,0.72082,0.687139,-0.583974,-0.560674,1.46377,2.99876,1.45818,1.37449,0.0133013,-0.0905566,0.0284419,1.45818,2.91211,1.46114,-0.0250916,-0.00316195,-0.0289937,1.37449,1.46114,2.99579,0.0117903,0.0937185,0.000551841,0.0133013,-0.0250916,0.0117903,0.903863,0.000551841,-0.00316195,-0.0905566,-0.00316195,0.0937185,0.000551841,0.81721,0.0133013,0.0284419,-0.0289937,0.000551841,-0.00316195,0.0133013,0.900896,0.621602,0.549517,-0.404484,-0.384754,72.3803,83.6601,89.1355,111.331,119.889,121.911,128.022,129.744,143.095,146.008,145.294,151.892,152.727,154.929,168.461,171.043,174.692,176.264,183.637,185.37
-2211.93,0,0.0186273,0,1,1,2217.23,2.90388,1.25892,0.906491,0.72082,0.687139,-0.583974,-0.560674,1.46377,2.99876,1.45818,1.37449,0.0133013,-0.0905566,0.0284419,1.45818,2.91211,1.46114,-0.0250916,-0.00316195,-0.0289937,1.37449,1.46114,2.99579,0.0117903,0.0937185,0.000551841,0.0133013,-0.0250916,0.0117903,0.903863,0.000551841,-0.00316195,-0.0905566,-0.00316195,0.0937185,0.000551841,0.81721,0.0133013,0.0284419,-0.0289937,0.000551841,-0.00316195,0.0133013,0.900896,0.621602,0.549517,-0.404484,-0.384754,72.8043,83.9248,89.8665,111.351,120.846,121.319,129.31,129.649,141.594,145.454,144.43,152.242,153.134,155.281,167.951,170.85,173.028,178.274,182.044,184.978
-1744.07,1,0.00130482,1,1,0,2176.45,2.89397,1.25909,0.888628,0.723552,0.687345,-0.58422,-0.561129,1.48243,2.98677,1.47699,1.39506,0.012983,-0.0888339,0.0277928,1.47699,2.90197,1.47986,-0.0245478,-0.00307327,-0.0283029,1.39506,1.47986,2.9839,0.0115648,0.0919072,0.00051013,0.012983,-0.0245478,0.0115648,0.886064,0.00051013,-0.00307327,-0.0888339,-0.00307327,0.0919072,0.00051013,0.801257,0.012983,0.0277928,-0.0283029,0.00051013,-0.00307327,0.012983,0.883189,0.621365,0.549542,-0.404565,-0.385014,72.1982,81.9401,87.7154,110.024,118.953,119.732,125.942,129.052,141.872,142.541,144.793,148.889,150.675,153.454,167.54,169.184,171.348,175.433,179.38,183.19
-1105.84,1,0.00189104,1,1,0,1651.3,2.88475,1.25995,0.857719,0.727744,0.686236,-0.584055,-0.560774,1.52323,2.97491,1.51765,1.43866,0.0129772,-0.0858082,0.0276851,1.51765,2.89302,1.52054,-0.0247145,-0.00316833,-0.0280927,1.43866,1.52054,2.97202,0.0117374,0.0889765,0.000407621,0.0129772,-0.0247145,0.0117374,0.85503,0.000407621,-0.00316833,-0.0858082,-0.00316833,0.0889765,0.000407621,0.773142,0.0129772,0.0276851,-0.0280927,0.000407621,-0.00316833,0.0129772,0.852139,0.62264,0.548253,-0.404537,-0.384822,71.4619,81.2365,86.9978,108.6,117.922,118.949,123.956,127.211,140.232,140.038,141.957,145.803,148.084,151.616,164.387,166.305,166.6,171.949,175.534,181.068
-495.029,1,0.00305706,4,15,0,876.722,2.8735,1.26164,0.799688,0.735815,0.68779,-0.586043,-0.562179,1.6058,2.95675,1.60077,1.52758,0.0117488,-0.0805058,0.0254924,1.60077,2.88082,1.6035,-0.0221289,-0.00281199,-0.0259897,1.52758,1.6035,2.95402,0.0103801,0.0833178,0.000497253,0.0117488,-0.0221289,0.0103801,0.79739,0.000497253,-0.00281199,-0.0805058,-0.00281199,0.0833178,0.000497253,0.721462,0.0117488,0.0254924,-0.0259897,0.000497253,-0.00281199,0.0117488,0.794659,0.620851,0.548827,-0.40578,-0.385584,67.325,78.4775,83.0326,105.168,113.191,113.362,119.441,123.25,135.544,135.524,136.928,143.031,143.051,146.619,159.089,161.359,163.234,166.585,170.295,174.59
-466.399,1,0.00530085,2,3,0,479.961,2.88302,1.26128,0.782951,0.743339,0.687987,-0.586595,-0.565424,1.6415,2.96346,1.63674,1.56583,0.0114464,-0.0787136,0.0246879,1.63674,2.89018,1.6391,-0.0224008,-0.00270625,-0.0247498,1.56583,1.6391,2.9611,0.0109543,0.0814199,6.19603e-05,0.0114464,-0.0224008,0.0109543,0.78055,6.19603e-05,-0.00270625,-0.0787136,-0.00270625,0.0814199,6.19603e-05,0.707273,0.0114464,0.0246879,-0.0247498,6.19603e-05,-0.00270625,0.0114464,0.778191,0.620625,0.548032,-0.405392,-0.387482,67.3778,77.6842,83.1923,105.253,112.422,113.16,119.46,122.205,134.129,134.109,134.907,140.69,142.545,144.479,155.897,158.904,161.613,163.858,169.948,173.54
-466.399,2.23301e-42,0.00961161,1,2,1,468.611,2.88302,1.26128,0.782951,0.743339,0.687987,-0.586595,-0.565424,1.6415,2.96346,1.63674,1.56583,0.0114464,-0.0787136,0.0246879,1.63674,2.89018,1.6391,-0.0224008,-0.00270625,-0.0247498,1.56583,1.6391,2.9611,0.0109543,0.0814199,6.19603e-05,0.0114464,-0.0224008,0.0109543,0.78055,6.19603e-05,-0.00270625,-0.0787136,-0.00270625,0.0814199,6.19603e-05,0.707273,0.0114464,0.0246879,-0.0247498,6.19603e-05,-0.00270625,0.0114464,0.778191,0.620625,0.548032,-0.405392,-0.387482,66.5624,77.3094,83.8646,104.066,112.426,111.716,119.596,120.742,133.228,135.339,135.562,140.741,142.252,145.952,156.819,158.848,161.419,165.227,168.757,171.831
