# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 15
# data
#   file = cmsx4.20modes.dat
# init = 2 (Default)
# random
#   seed = 2282922554
# output
#   file = cmsx4.20modes.15.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,cu.1,cu.2,cu.3,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,q.1,q.2,q.3,q.4,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20
-65743,1,0.000976562,3,7,0,1.35727e+06,5.70113,4.09516,0.239377,1.01209,-0.76338,-0.490814,0.818458,5.58423,5.79185,5.49761,5.58013,0.0186722,-0.0210933,0.0880039,5.49761,5.81164,5.56034,0.0472989,0.0166221,-0.0856562,5.58013,5.56034,5.72912,-0.065971,0.0044712,-0.00234772,0.0186722,0.0472989,-0.065971,0.215492,-0.00234772,0.0166221,-0.0210933,0.0166221,0.0044712,-0.00234772,0.235278,0.0186722,0.0880039,-0.0856562,-0.00234772,0.0166221,0.0186722,0.152757,0.452296,-0.54875,-0.329788,0.62092,26.5028,30.3036,32.5994,39.1417,39.3755,42.4507,44.9712,45.2532,45.9361,52.6045,55.305,57.1222,57.1163,60.3057,61.5094,61.2006,63.1212,64.5509,68.3673,68.0495
-65743,0,14.3855,0,1,1,65745.1,5.70113,4.09516,0.239377,1.01209,-0.76338,-0.490814,0.818458,5.58423,5.79185,5.49761,5.58013,0.0186722,-0.0210933,0.0880039,5.49761,5.81164,5.56034,0.0472989,0.0166221,-0.0856562,5.58013,5.56034,5.72912,-0.065971,0.0044712,-0.00234772,0.0186722,0.0472989,-0.065971,0.215492,-0.00234772,0.0166221,-0.0210933,0.0166221,0.0044712,-0.00234772,0.235278,0.0186722,0.0880039,-0.0856562,-0.00234772,0.0166221,0.0186722,0.152757,0.452296,-0.54875,-0.329788,0.62092,24.5627,29.4887,32.5966,39.2846,40.7057,43.5894,44.8717,48.6462,49.3882,51.1554,52.7422,56.3471,59.0677,59.2098,62.3882,63.3257,65.5324,65.0145,66.9734,67.6582
-65743,0,2.43117,0,1,1,65745.3,5.70113,4.09516,0.239377,1.01209,-0.76338,-0.490814,0.818458,5.58423,5.79185,5.49761,5.58013,0.0186722,-0.0210933,0.0880039,5.49761,5.81164,5.56034,0.0472989,0.0166221,-0.0856562,5.58013,5.56034,5.72912,-0.065971,0.0044712,-0.00234772,0.0186722,0.0472989,-0.065971,0.215492,-0.00234772,0.0166221,-0.0210933,0.0166221,0.0044712,-0.00234772,0.235278,0.0186722,0.0880039,-0.0856562,-0.00234772,0.0166221,0.0186722,0.152757,0.452296,-0.54875,-0.329788,0.62092,25.8756,30.1189,35.2339,38.9785,36.7572,43.9802,45.2602,44.119,48.5346,50.4973,54.316,56.2462,60.6999,57.0132,59.849,60.8958,65.611,65.6215,67.5822,69.0781
-65743,0,0.239791,0,1,1,65744,5.70113,4.09516,0.239377,1.01209,-0.76338,-0.490814,0.818458,5.58423,5.79185,5.49761,5.58013,0.0186722,-0.0210933,0.0880039,5.49761,5.81164,5.56034,0.0472989,0.0166221,-0.0856562,5.58013,5.56034,5.72912,-0.065971,0.0044712,-0.00234772,0.0186722,0.0472989,-0.065971,0.215492,-0.00234772,0.0166221,-0.0210933,0.0166221,0.0044712,-0.00234772,0.235278,0.0186722,0.0880039,-0.0856562,-0.00234772,0.0166221,0.0186722,0.152757,0.452296,-0.54875,-0.329788,0.62092,26.3344,29.5853,33.7839,37.5794,39.6452,45.6478,45.5521,46.9531,48.4515,54.7661,54.742,55.6747,57.6423,59.0545,60.7708,62.104,63.8748,64.8401,67.9427,66.7609
-65743,0,0.0186273,0,1,1,65744.3,5.70113,4.09516,0.239377,1.01209,-0.76338,-0.490814,0.818458,5.58423,5.79185,5.49761,5.58013,0.0186722,-0.0210933,0.0880039,5.49761,5.81164,5.56034,0.0472989,0.0166221,-0.0856562,5.58013,5.56034,5.72912,-0.065971,0.0044712,-0.00234772,0.0186722,0.0472989,-0.065971,0.215492,-0.00234772,0.0166221,-0.0210933,0.0166221,0.0044712,-0.00234772,0.235278,0.0186722,0.0880039,-0.0856562,-0.00234772,0.0166221,0.0186722,0.152757,0.452296,-0.54875,-0.329788,0.62092,26.3855,28.7233,33.722,39.1981,39.411,43.7379,44.6211,47.0608,49.7014,51.2499,56.7711,55.5815,56.2571,57.7583,61.4756,62.9678,63.158,66.1814,67.7978,67.9996
-26508.1,1,0.00130482,2,3,0,63181.2,5.72175,3.88548,0.272438,1.50506,-0.761404,-0.485702,0.820573,5.58152,5.82707,5.48077,5.57694,0.0214376,-0.0219076,0.0986784,5.48077,5.85042,5.55359,0.0535793,0.0194408,-0.0950851,5.57694,5.55359,5.75425,-0.0750169,0.00246679,-0.00359331,0.0214376,0.0535793,-0.0750169,0.244514,-0.00359331,0.0194408,-0.0219076,0.0194408,0.00246679,-0.00359331,0.267864,0.0214376,0.0986784,-0.0950851,-0.00359331,0.0194408,0.0214376,0.171691,0.449257,-0.548054,-0.326551,0.625436,25.5027,34.0335,33.7858,40.4741,43.5645,44.084,48.5209,52.5389,54.5226,56.5309,58.1854,59.6396,64.423,61.5606,64.7398,67.2982,68.7749,73.673,74.1675,74.0083
-21335.8,1,0.00189104,1,1,0,26023.1,5.7082,3.83578,0.281513,1.65138,-0.761837,-0.482854,0.82076,5.56142,5.81804,5.45648,5.55652,0.0226239,-0.0230514,0.101322,5.45648,5.84217,5.53239,0.0550325,0.0200236,-0.0977301,5.55652,5.53239,5.74213,-0.0776563,0.00302777,-0.00359184,0.0226239,0.0550325,-0.0776563,0.252481,-0.00359184,0.0200236,-0.0230514,0.0200236,0.00302777,-0.00359184,0.276615,0.0226239,0.101322,-0.0977301,-0.00359184,0.0200236,0.0226239,0.176576,0.448987,-0.54885,-0.324736,0.625877,27.4534,31.7496,38.6704,45.1978,40.6038,45.3454,50.7271,50.9961,54.7288,58.9917,60.4479,63.8671,63.412,64.1999,68.2617,71.8419,70.3287,72.6427,75.821,75.3916
-4485.9,1,0.00305706,2,3,0,19868.3,5.71265,3.48619,0.362838,3.12941,-0.75845,-0.471616,0.826032,5.50449,5.86108,5.36235,5.49819,0.0297313,-0.0236618,0.125808,5.36235,5.89381,5.46546,0.0695413,0.0271001,-0.118467,5.49819,5.46546,5.75798,-0.0992726,-0.0034383,-0.00734168,0.0297313,0.0695413,-0.0992726,0.323809,-0.00734168,0.0271001,-0.0236618,0.0271001,-0.0034383,-0.00734168,0.356536,0.0297313,0.125808,-0.118467,-0.00734168,0.0271001,0.0297313,0.220702,0.441364,-0.547857,-0.317489,0.635807,32.6412,42.6925,42.7206,49.703,49.2786,58.3325,60.4812,64.932,71.0578,71.3838,68.9723,74.4965,74.5817,77.2452,76.848,83.7364,85.905,80.1044,86.7658,93.3428
-1432.97,1,0.00530085,4,15,0,4259.09,5.69198,3.22478,0.450677,4.75871,-0.756973,-0.459246,0.83378,5.41247,5.88943,5.22335,5.40415,0.0376249,-0.0204328,0.148817,5.22335,5.93027,5.36331,0.0831786,0.035161,-0.135834,5.40415,5.36331,5.74947,-0.120803,-0.0147282,-0.0129835,0.0376249,0.0831786,-0.120803,0.401515,-0.0129835,0.035161,-0.0204328,0.035161,-0.0147282,-0.0129835,0.442351,0.0376249,0.148817,-0.135834,-0.0129835,0.035161,0.0376249,0.261551,0.43004,-0.548023,-0.309223,0.647393,29.0648,55.8418,52.2832,54.5293,51.6931,62.8898,74.6714,73.7642,75.5329,80.0015,77.2002,85.4586,84.7294,82.2282,93.4549,91.6797,98.0815,102.386,99.4187,99.4672
-378.951,1,0.00961161,3,7,0,1348.22,5.59358,2.94606,0.616963,7.16795,-0.759401,-0.439523,0.830748,5.17474,5.8628,4.91933,5.16092,0.0591231,-0.0396052,0.188954,4.91933,5.9194,5.10432,0.108252,0.04422,-0.175891,5.16092,5.10432,5.67781,-0.167375,-0.0046148,-0.0130626,0.0591231,0.108252,-0.167375,0.546544,-0.0130626,0.04422,-0.0396052,0.04422,-0.0046148,-0.0130626,0.60315,0.0591231,0.188954,-0.175891,-0.0130626,0.04422,0.0591231,0.361559,0.434488,-0.553398,-0.296807,0.645659,39.2864,58.5324,67.996,70.2875,70.9547,83.612,91.4678,86.424,89.7676,95.3986,110.773,104.322,108.704,104.143,105.574,109.18,124.07,116.473,128.964,115.602
