Arsenal,75,83,38
Aston Villa,38,31,57
Bournemouth,30,42,73
Chelsea,87,73,32
Crystal Palace,48,47,51
Everton,47,48,50
Leicester,41,46,55
Liverpool,62,52,48
Man City,79,83,38
Man United,70,62,37
Newcastle,39,40,63
Norwich,30,42,73
Southampton,60,54,33
Stoke,54,48,45
Sunderland,38,31,53
Swansea,56,46,49
Tottenham,64,58,53
Watford,30,42,73
West Brom,44,38,51
West Ham,47,44,47
