# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 15
# data
#   file = ti.dat
# init = 2 (Default)
# random
#   seed = 2282494895
# output
#   file = ti.30modes.15.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30
-46907.4,0.5,0.000976562,1,2,1,632820,0.695793,2.00808,0.423401,1.04805,0.274097,0.695793,0.274097,0.274097,0,0,0,0.274097,0.695793,0.274097,0,0,0,0.274097,0.274097,0.695793,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,96.6686,101.731,107.226,126.989,166.103,167.884,167.047,168.31,173.4,180.568,183.351,184.196,199.511,202.409,207.159,213.622,215.016,214.455,217.02,216.79,227.021,225.92,232.814,234.288,241.314,241.83,254.535,253.307,254.015,262.667
-46907.4,0,5.79578,0,1,1,46910,0.695793,2.00808,0.423401,1.04805,0.274097,0.695793,0.274097,0.274097,0,0,0,0.274097,0.695793,0.274097,0,0,0,0.274097,0.274097,0.695793,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,97.857,103.497,105.142,128.054,165.194,169.152,169.304,170.37,170.145,181.924,182.981,183.776,197.396,199.313,206.418,210.113,215.717,213.97,216.295,215.922,227.06,230.208,234.384,233.723,243.466,242.522,253.274,254.92,253.449,264.011
-46907.4,0,0.748159,0,1,1,46908.5,0.695793,2.00808,0.423401,1.04805,0.274097,0.695793,0.274097,0.274097,0,0,0,0.274097,0.695793,0.274097,0,0,0,0.274097,0.274097,0.695793,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,97.2697,102.52,106.115,127.473,163.417,167.98,169.211,169.36,170.932,181.135,184.269,185.241,195.928,200.889,207.762,211.582,214.118,212.305,216.343,217.841,227.441,227.79,233.985,234.518,239.001,245.316,255.132,253.302,254.463,264.214
-46907.4,0,0.0632707,0,1,1,46909.4,0.695793,2.00808,0.423401,1.04805,0.274097,0.695793,0.274097,0.274097,0,0,0,0.274097,0.695793,0.274097,0,0,0,0.274097,0.274097,0.695793,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,97.6944,103.664,103.068,129.246,166.644,167.992,170.961,170.758,171.379,180.896,180.815,182.303,194.934,199.927,207.268,211.684,211.821,214.346,215.272,217.388,227.778,226.916,232.689,233.128,240.304,243.455,252.116,253.39,255.614,265.012
-46907.4,0,0.00446404,0,1,1,46908.2,0.695793,2.00808,0.423401,1.04805,0.274097,0.695793,0.274097,0.274097,0,0,0,0.274097,0.695793,0.274097,0,0,0,0.274097,0.274097,0.695793,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,0,0,0,0,0,0,0.423401,98.6001,104.961,104.827,128.649,164.418,167.037,166.462,170.288,169.284,181.132,181.087,183.316,196.369,201.07,209.221,209.378,213.597,213.09,214.932,218.489,228.222,228.298,233.436,231.929,240.448,243.812,252.589,254.447,254.824,266.16
-45542.9,1,0.000293862,1,1,0,46895.7,0.696792,2.00105,0.425622,1.05238,0.271393,0.696792,0.271393,0.271393,0,0,0,0.271393,0.696792,0.271393,0,0,0,0.271393,0.271393,0.696792,0,0,0,0,0,0,0.425622,0,0,0,0,0,0,0.425622,0,0,0,0,0,0,0.425622,98.315,100.747,105.302,127.387,168.33,167.195,170.451,169.809,172.196,183.363,183.863,183.137,195.023,202.187,208.17,213.338,214.869,214.188,217.948,219.528,227.611,227.625,233.934,233.645,239.15,242.836,254.206,255.801,253.742,266.328
-43085.5,1,0.000409096,1,1,0,45493.2,0.69842,1.98984,0.430161,1.05997,0.266061,0.69842,0.266061,0.266061,0,0,0,0.266061,0.69842,0.266061,0,0,0,0.266061,0.266061,0.69842,0,0,0,0,0,0,0.430161,0,0,0,0,0,0,0.430161,0,0,0,0,0,0,0.430161,99.2795,105.54,104.384,129.832,166.81,169.091,169.923,173.215,173.282,181.98,184.786,185.864,196.448,202.875,209.498,211.084,216.3,216.844,217.863,216.78,226.358,228.282,235.57,236.032,240.293,246.909,255.586,256.703,255.613,264.832
-37599.2,1,0.000644764,1,1,0,42810.9,0.701538,1.96201,0.441741,1.07766,0.251244,0.701538,0.251244,0.251244,0,0,0,0.251244,0.701538,0.251244,0,0,0,0.251244,0.251244,0.701538,0,0,0,0,0,0,0.441741,0,0,0,0,0,0,0.441741,0,0,0,0,0,0,0.441741,100.464,105.518,107.425,132.86,170.624,173.572,172.047,174.455,178.767,185.284,188.262,189.204,200.325,206.83,210.291,215.275,218.457,218.317,221.36,222.05,231.778,232.289,238,239.734,246.038,249.279,260.603,259.933,261.422,267.756
-8117.59,0.857143,0.00110133,2,7,1,35165.1,0.755572,1.72138,0.560009,1.25798,0.104923,0.755572,0.104923,0.104923,0,0,0,0.104923,0.755572,0.104923,0,0,0,0.104923,0.104923,0.755572,0,0,0,0,0,0,0.560009,0,0,0,0,0,0,0.560009,0,0,0,0,0,0,0.560009,113.173,118.665,120.998,151.002,189.878,193.77,196.835,200.213,203.315,209.548,210.663,218.971,221.005,237.473,237.058,244.858,245.91,248.22,246.327,249.608,257.62,267.517,270.055,273.686,273.61,274.828,280.659,284.012,287.835,291.383
-6480.73,1,0.00126225,1,1,0,8000.58,0.769216,1.70485,0.575998,1.27348,0.0935009,0.769216,0.0935009,0.0935009,0,0,0,0.0935009,0.769216,0.0935009,0,0,0,0.0935009,0.0935009,0.769216,0,0,0,0,0,0,0.575998,0,0,0,0,0,0,0.575998,0,0,0,0,0,0,0.575998,114.661,123.986,121.876,153.37,192.154,196.758,201.947,203.512,209.695,213.567,215.195,222.127,224.971,239.026,238.939,250.393,250.406,248.445,251.963,253.204,263.773,271.445,273.387,274.809,278.747,281.205,282.672,287.73,289.792,295.048
