# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 14
# data
#   file = ti.dat
# init = 2 (Default)
# random
#   seed = 2282494892
# output
#   file = ti.30modes.14.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30
-6795.85,1,0.000758439,1,1,0,12981,4.68523,0.555862,0.351263,0.626965,3.42138,4.68523,3.42138,3.42138,0,0,0,3.42138,4.68523,3.42138,0,0,0,3.42138,3.42138,4.68523,0,0,0,0,0,0,0.351263,0,0,0,0,0,0,0.351263,0,0,0,0,0,0,0.351263,96.3127,150.494,158.132,166.013,175.323,183.571,192.852,211.761,224.668,235.659,244.875,260.981,261.807,265.056,275.885,280.979,286.699,291.339,296.694,302.759,314.821,317.16,318.177,317.455,318.054,320.129,331.197,340.931,347.324,347.933
-4416.36,1,0.00144197,1,1,0,5137.5,4.66555,0.581077,0.319877,0.635276,3.56457,4.66555,3.56457,3.56457,0,0,0,3.56457,4.66555,3.56457,0,0,0,3.56457,3.56457,4.66555,0,0,0,0,0,0,0.319877,0,0,0,0,0,0,0.319877,0,0,0,0,0,0,0.319877,92.24,141.8,149.071,158.723,167.14,174.354,185.578,203.32,211.36,223.002,232.396,246.89,248.91,252.093,261.286,263.851,270.529,277.551,283.677,286.75,295.904,298.787,301.414,300.956,302.121,303.053,309.51,320.682,328.802,330.417
-4416.36,0,0.00278004,0,1,1,4417.18,4.66555,0.581077,0.319877,0.635276,3.56457,4.66555,3.56457,3.56457,0,0,0,3.56457,4.66555,3.56457,0,0,0,3.56457,3.56457,4.66555,0,0,0,0,0,0,0.319877,0,0,0,0,0,0,0.319877,0,0,0,0,0,0,0.319877,92.5684,142.226,149.708,159.545,167.14,176.13,185.149,204.14,209.875,224.477,232.842,247.913,247.897,252.954,261.93,262.917,272.722,276.374,283.324,286.178,297.008,298.16,300.076,300.832,301.831,303.81,311.018,320.825,327.908,330.562
-3872.76,1,0.000234676,2,3,0,4409.63,4.66763,0.579677,0.323597,0.637035,3.55115,4.66763,3.55115,3.55115,0,0,0,3.55115,4.66763,3.55115,0,0,0,3.55115,3.55115,4.66763,0,0,0,0,0,0,0.323597,0,0,0,0,0,0,0.323597,0,0,0,0,0,0,0.323597,93.5852,142.382,150.224,159.054,167.416,175.555,185.672,205.92,211.963,225.013,233.626,249.774,250.375,254.589,263.052,264.489,273.152,280.163,284.954,288.509,299.232,301.337,300.922,302.716,303.972,304.875,311.922,323.865,331.771,332.123
-3345.92,1,0.000464213,5,31,0,3841.17,4.67324,0.573419,0.3319,0.642136,3.51562,4.67324,3.51562,3.51562,0,0,0,3.51562,4.67324,3.51562,0,0,0,3.51562,3.51562,4.67324,0,0,0,0,0,0,0.3319,0,0,0,0,0,0,0.3319,0,0,0,0,0,0,0.3319,93.9754,143.858,153.324,161.219,170.945,177.59,188.432,206.185,215.257,227.594,238.219,251.983,253.899,257.284,265.526,270.057,278.192,282.902,288.931,292.096,305.515,305.258,305.985,306.332,307.121,311.191,317.628,328.356,335.953,335.634
-3330.58,1,0.000918678,3,7,0,3347.34,4.67598,0.573896,0.331409,0.643412,3.52103,4.67598,3.52103,3.52103,0,0,0,3.52103,4.67598,3.52103,0,0,0,3.52103,3.52103,4.67598,0,0,0,0,0,0,0.331409,0,0,0,0,0,0,0.331409,0,0,0,0,0,0,0.331409,94.6404,144.511,152.427,162.36,168.793,177.376,187.855,207.519,216.144,227.377,237.767,252.29,252.767,256.488,266.259,269.402,277.312,281.663,287.234,292.155,303.799,304.834,307.278,307.533,306.717,308.987,316.272,327.469,336.144,336.867
-3235.16,1,0.00181295,2,3,0,3331.88,4.68352,0.575138,0.332031,0.652049,3.52891,4.68352,3.52891,3.52891,0,0,0,3.52891,4.68352,3.52891,0,0,0,3.52891,3.52891,4.68352,0,0,0,0,0,0,0.332031,0,0,0,0,0,0,0.332031,0,0,0,0,0,0,0.332031,93.8593,145.197,151.851,161.508,170.461,177.963,187.815,206.198,216.838,228.201,237.148,252.016,251.748,256.573,266.091,269.073,277.005,282.795,288.781,292.853,305.14,305.908,306.566,307.086,307.204,309.904,317.075,328.771,335.86,337.135
-3235.16,2.44028e-18,0.00355923,1,3,1,3236.26,4.68352,0.575138,0.332031,0.652049,3.52891,4.68352,3.52891,3.52891,0,0,0,3.52891,4.68352,3.52891,0,0,0,3.52891,3.52891,4.68352,0,0,0,0,0,0,0.332031,0,0,0,0,0,0,0.332031,0,0,0,0,0,0,0.332031,94.3473,144.079,152.001,163.196,169.857,178.876,188.54,206.709,216.727,227.054,236.577,253.923,253.046,256.789,265.592,268.77,278.285,282.74,288.629,292.551,304.645,304.883,307.226,307.619,307.969,310.285,316.589,328.805,334.885,338.074
-3226.78,0.997103,0.000335137,2,3,0,3235.72,4.68295,0.575181,0.332101,0.652865,3.52818,4.68295,3.52818,3.52818,0,0,0,3.52818,4.68295,3.52818,0,0,0,3.52818,3.52818,4.68295,0,0,0,0,0,0,0.332101,0,0,0,0,0,0,0.332101,0,0,0,0,0,0,0.332101,94.4499,144.787,152.242,164.263,169.859,177.355,187.895,207.481,215.706,227.988,238.115,252.383,253.618,257.652,266.125,268.739,277.283,281.741,288.838,292.513,304.01,305.625,305.603,306.825,307.948,310.658,317.704,326.859,335.57,336.211
-3217.42,0.98337,0.000658358,2,3,0,3227.42,4.68202,0.575568,0.33185,0.653655,3.52889,4.68202,3.52889,3.52889,0,0,0,3.52889,4.68202,3.52889,0,0,0,3.52889,3.52889,4.68202,0,0,0,0,0,0,0.33185,0,0,0,0,0,0,0.33185,0,0,0,0,0,0,0.33185,93.3555,144.038,152.208,161.798,169.796,176.317,188.222,206.383,216.511,227.838,237.365,252.901,252.675,256.237,265.469,268.836,277.62,282.228,287.141,292.646,304.506,305.811,306.913,306.907,306.898,311.339,316.396,328.536,335.336,336.752
