# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 13
# data
#   file = cmsx4.20modes.dat
# init = 2 (Default)
# random
#   seed = 2282922535
# output
#   file = cmsx4.20modes.13.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,cu.1,cu.2,cu.3,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,q.1,q.2,q.3,q.4,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20
-116.809,1,0.00812719,2,3,0,993.308,1.67414,1.26841,0.945977,2.18835,0.0829973,-0.575833,0.029655,0.18255,1.68504,0.178659,0.175541,-0.00297513,-0.0347215,-0.0295951,0.178659,1.69247,0.168118,0.0528364,-0.00294304,0.0242445,0.175541,0.168118,1.69559,-0.0498613,0.0376645,0.00535052,-0.00297513,0.0528364,-0.0498613,0.931545,0.00535052,-0.00294304,-0.0347215,-0.00294304,0.0376645,0.00535052,0.938968,-0.00297513,-0.0295951,0.0242445,0.00535052,-0.00294304,-0.00297513,0.942086,0.737691,0.0728646,-0.67078,0.0235889,70.408,75.6386,81.5048,109.844,121.533,123.735,129.966,129.482,133.096,138.809,136.482,145.048,150.145,155.099,160.22,157.315,159.619,168.461,168.964,171.845
-82.6563,1,0.0154101,4,15,0,101.084,1.63802,1.26273,0.866765,2.21766,0.093701,-0.577976,0.0259297,0.265184,1.64929,0.259675,0.25943,-0.00290126,-0.029047,-0.032924,0.259675,1.65844,0.250279,0.0506257,-0.0038216,0.0277399,0.25943,0.250279,1.65868,-0.0477245,0.0328686,0.00518412,-0.00290126,0.0506257,-0.0477245,0.85186,0.00518412,-0.0038216,-0.029047,-0.0038216,0.0328686,0.00518412,0.861011,-0.00290126,-0.032924,0.0277399,0.00518412,-0.0038216,-0.00290126,0.861256,0.735677,0.0828628,-0.671927,0.0206633,65.161,78.8898,80.2375,100.124,114.366,122.781,123.804,126.072,127.386,137.633,138.05,139.166,147.65,147.293,150.082,156.017,156.366,165.417,163.278,166.993
-82.6563,2.26942e-12,0.0294989,1,1,0,84.3855,1.63802,1.26273,0.866765,2.21766,0.093701,-0.577976,0.0259297,0.265184,1.64929,0.259675,0.25943,-0.00290126,-0.029047,-0.032924,0.259675,1.65844,0.250279,0.0506257,-0.0038216,0.0277399,0.25943,0.250279,1.65868,-0.0477245,0.0328686,0.00518412,-0.00290126,0.0506257,-0.0477245,0.85186,0.00518412,-0.0038216,-0.029047,-0.0038216,0.0328686,0.00518412,0.861011,-0.00290126,-0.032924,0.0277399,0.00518412,-0.0038216,-0.00290126,0.861256,0.735677,0.0828628,-0.671927,0.0206633,69.0354,78.4737,79.4599,107.07,109.437,119.683,125.326,127.811,127.235,131.647,137.391,144.194,145.216,149.156,150.432,157.143,156.031,164.952,163.991,164.426
-58.2992,0.99791,0.00246427,6,63,0,86.15,1.94368,1.29316,0.824889,2.89608,0.12581,-0.489257,0.00473072,0.667915,2.03227,0.650958,0.596288,-0.0233147,-0.0819369,-0.0517273,0.650958,1.98074,0.647815,0.0640196,-0.00978443,0.0412668,0.596288,0.647815,2.03541,-0.0407049,0.0917213,0.0104605,-0.0233147,0.0640196,-0.0407049,0.80479,0.0104605,-0.00978443,-0.0819369,-0.00978443,0.0917213,0.0104605,0.753263,-0.0233147,-0.0517273,0.0412668,0.0104605,-0.00978443,-0.0233147,0.807933,0.812155,0.114244,-0.572134,0.00384034,63.9635,79.027,80.5116,102.852,115.042,115.426,118.635,121.097,126.82,137.557,133.556,147.607,145.165,146.544,162.316,158.045,163.271,157.517,170.574,169.912
-51.1388,0.997114,0.00478079,6,63,0,59.2509,2.1854,1.33002,0.828222,3.48608,0.0781572,-0.535681,0.0844279,0.939967,2.21909,0.939087,0.907154,-0.00374909,-0.0761096,-0.00332857,0.939087,2.21078,0.915465,0.0668743,0.00446305,-0.0100744,0.907154,0.915465,2.24271,-0.0631252,0.0716465,0.0134029,-0.00374909,0.0668743,-0.0631252,0.803719,0.0134029,0.00446305,-0.0761096,0.00446305,0.0716465,0.0134029,0.795409,-0.00374909,-0.00332857,-0.0100744,0.0134029,0.00446305,-0.00374909,0.827342,0.773888,0.060347,-0.626944,0.0663013,71.1432,76.8712,74.9581,106.368,117.715,118.753,119.757,123.505,133.271,131.308,136.596,136.061,143.165,146.75,161.23,156.417,160.578,159.766,169.842,165.846
-51.6287,0.972576,0.00924011,7,127,0,54.1983,2.44272,1.30483,0.814923,4.03025,-0.0825412,-0.547778,-0.0895344,1.19363,2.4654,1.19296,1.17162,0.00251038,-0.0617,0.00229716,1.19296,2.46884,1.16818,-0.064906,0.00403938,0.00890153,1.17162,1.16818,2.49018,0.0623956,0.0576606,-0.0111987,0.00251038,-0.064906,0.0623956,0.78947,-0.0111987,0.00403938,-0.0617,0.00403938,0.0576606,-0.0111987,0.792914,0.00251038,0.00229716,0.00890153,-0.0111987,0.00403938,0.00251038,0.81425,0.76329,-0.0635884,-0.639074,-0.0702114,71.5978,75.0555,86.0617,110.251,113.066,128.233,120.509,131.099,123.234,128.758,137.207,137.668,137.723,149.626,155.372,158.891,164.025,170.692,176.319,173.418
-45.9409,0.684942,0.0164933,5,49,1,54.1492,2.56414,1.51316,0.866617,3.46692,-0.170794,-0.444536,-0.120498,1.4187,2.76706,1.39671,1.23778,0.0626967,-0.130026,0.0400344,1.39671,2.68576,1.31908,-0.150882,0.0193459,0.00171626,1.23778,1.31908,2.84469,0.0881852,0.11068,-0.0417506,0.0626967,-0.150882,0.0881852,0.766996,-0.0417506,0.0193459,-0.130026,0.0193459,0.11068,-0.0417506,0.685695,0.0626967,0.0400344,0.00171626,-0.0417506,0.0193459,0.0626967,0.844625,0.845473,-0.143027,-0.505622,-0.0952126,69.4188,89.4522,82.7272,96.8779,104.036,112.27,118.334,119.525,131.849,134.597,142.995,148.544,146.711,151.331,160.445,168.763,158.707,168.234,169.064,172.858
-26.7449,0.845302,0.01217,6,63,0,51.9528,4.17608,2.38823,1.13926,2.44103,0.0380654,-0.509835,-0.0392233,3.22201,4.36986,3.20408,3.04616,-0.0261288,-0.289307,-0.0977168,3.20408,4.19501,3.22101,0.0128206,-0.00343869,0.109657,3.04616,3.22101,4.35294,0.0133082,0.292746,-0.0119402,-0.0261288,0.0128206,0.0133082,1.13825,-0.0119402,-0.00343869,-0.289307,-0.00343869,0.292746,-0.0119402,0.963406,-0.0261288,-0.0977168,0.109657,-0.0119402,-0.00343869,-0.0261288,1.12133,0.795661,0.0294685,-0.604252,-0.0305758,73.5935,78.338,79.8705,90.4805,116.972,116.083,115.704,129.758,131.124,131.575,142.386,144.152,148.886,157.392,151.683,157.247,154.445,166.838,172.131,171.788
-26.1867,0.209303,0.014707,4,15,0,27.5225,4.10611,2.4515,1.12101,2.37864,0.0610251,-0.46829,-0.0442613,3.19157,4.45985,3.15686,2.87253,-0.051091,-0.319766,-0.125968,3.15686,4.14642,3.18596,0.0583521,-0.0139391,0.147386,2.87253,3.18596,4.43075,-0.00726108,0.333705,-0.0214174,-0.051091,0.0583521,-0.00726108,1.1154,-0.0214174,-0.0139391,-0.319766,-0.0139391,0.333705,-0.0214174,0.80197,-0.051091,-0.125968,0.147386,-0.0214174,-0.0139391,-0.051091,1.0863,0.828203,0.0512842,-0.556965,-0.0352086,78.4739,74.9011,82.2005,90.2663,109.592,112.435,116.654,125.093,128.608,128.838,141.483,144.137,150.032,155.828,153.403,155.008,159.394,167.164,168.543,174.314
-21.4633,0.953938,0.00262465,7,127,0,30.7053,3.77933,2.67048,1.2286,2.11227,0.0861632,-0.520563,0.032949,2.8592,3.96663,2.84244,2.68866,-0.0419061,-0.309809,-0.118252,2.84244,3.85726,2.79804,0.221269,-0.00781159,0.0762835,2.68866,2.79804,4.01104,-0.179363,0.317621,0.041969,-0.0419061,0.221269,-0.179363,1.16743,0.041969,-0.00781159,-0.309809,-0.00781159,0.317621,0.041969,1.05806,-0.0419061,-0.118252,0.0762835,0.041969,-0.00781159,-0.0419061,1.21184,0.786768,0.0762337,-0.611951,0.0264661,67.9927,78.9334,88.3421,88.3036,114.129,116.156,119.714,127.538,129.059,132.971,144.423,143.813,152.714,153.847,158.22,158.223,156.21,165.985,167.47,169.793
