# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 16
# data
#   file = cmsx4.20modes.dat
# init = 2 (Default)
# random
#   seed = 2282922554
# output
#   file = cmsx4.20modes.16.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,cu.1,cu.2,cu.3,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,q.1,q.2,q.3,q.4,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20
-107503,0.446695,0.00012207,2,3,0,109721,2.39632,1.54698,2.01993,0.434574,-0.781733,0.79197,-0.131513,-0.215137,3.01939,-0.481601,-0.571749,-0.213973,0.310861,0.0968681,-0.481601,3.18724,-0.739598,0.0327775,-0.239865,-0.143032,-0.571749,-0.739598,3.27739,0.181195,-0.0709966,0.0461638,-0.213973,0.0327775,0.181195,1.49547,0.0461638,-0.239865,0.310861,-0.239865,-0.0709966,0.0461638,1.66332,-0.213973,0.0968681,-0.143032,0.0461638,-0.239865,-0.213973,1.75347,0.489482,-0.606558,0.619779,-0.0914833,93.8794,103.146,108.585,138.492,147.323,165.45,165.752,171.671,173.471,178.498,182.849,192.654,196.831,201.648,202.853,211.968,214.811,216.063,218.587,220.533
-107503,0,5.26043,0,1,1,107505,2.39632,1.54698,2.01993,0.434574,-0.781733,0.79197,-0.131513,-0.215137,3.01939,-0.481601,-0.571749,-0.213973,0.310861,0.0968681,-0.481601,3.18724,-0.739598,0.0327775,-0.239865,-0.143032,-0.571749,-0.739598,3.27739,0.181195,-0.0709966,0.0461638,-0.213973,0.0327775,0.181195,1.49547,0.0461638,-0.239865,0.310861,-0.239865,-0.0709966,0.0461638,1.66332,-0.213973,0.0968681,-0.143032,0.0461638,-0.239865,-0.213973,1.75347,0.489482,-0.606558,0.619779,-0.0914833,94.0743,103.582,107.607,138.34,146.354,165.994,165.895,171.41,173.619,178.403,183.707,192.528,197.952,200.752,201.923,211.741,214.127,215.525,218.828,219.693
-107503,0,0.659824,0,1,1,107506,2.39632,1.54698,2.01993,0.434574,-0.781733,0.79197,-0.131513,-0.215137,3.01939,-0.481601,-0.571749,-0.213973,0.310861,0.0968681,-0.481601,3.18724,-0.739598,0.0327775,-0.239865,-0.143032,-0.571749,-0.739598,3.27739,0.181195,-0.0709966,0.0461638,-0.213973,0.0327775,0.181195,1.49547,0.0461638,-0.239865,0.310861,-0.239865,-0.0709966,0.0461638,1.66332,-0.213973,0.0968681,-0.143032,0.0461638,-0.239865,-0.213973,1.75347,0.489482,-0.606558,0.619779,-0.0914833,94.3543,102.483,107.71,137.813,147.315,166.077,166.127,172.064,173.182,178.699,182.738,191.722,197.753,200.507,203.086,211.142,213.526,214.877,218.983,219.836
-107503,0,0.0548927,0,1,1,107507,2.39632,1.54698,2.01993,0.434574,-0.781733,0.79197,-0.131513,-0.215137,3.01939,-0.481601,-0.571749,-0.213973,0.310861,0.0968681,-0.481601,3.18724,-0.739598,0.0327775,-0.239865,-0.143032,-0.571749,-0.739598,3.27739,0.181195,-0.0709966,0.0461638,-0.213973,0.0327775,0.181195,1.49547,0.0461638,-0.239865,0.310861,-0.239865,-0.0709966,0.0461638,1.66332,-0.213973,0.0968681,-0.143032,0.0461638,-0.239865,-0.213973,1.75347,0.489482,-0.606558,0.619779,-0.0914833,93.5669,102.095,108.051,138.962,146.791,166.057,165.364,171.26,173.034,177.629,183.335,192.441,197.606,201.459,202.533,212.333,213.553,215.073,219.185,220.174
-107503,0,0.00383341,0,1,1,107508,2.39632,1.54698,2.01993,0.434574,-0.781733,0.79197,-0.131513,-0.215137,3.01939,-0.481601,-0.571749,-0.213973,0.310861,0.0968681,-0.481601,3.18724,-0.739598,0.0327775,-0.239865,-0.143032,-0.571749,-0.739598,3.27739,0.181195,-0.0709966,0.0461638,-0.213973,0.0327775,0.181195,1.49547,0.0461638,-0.239865,0.310861,-0.239865,-0.0709966,0.0461638,1.66332,-0.213973,0.0968681,-0.143032,0.0461638,-0.239865,-0.213973,1.75347,0.489482,-0.606558,0.619779,-0.0914833,93.6006,102.824,108.641,139.161,147.573,165.226,165.903,171.449,174.179,178.652,183.114,192.342,197.471,201.648,202.863,212.003,214.057,215.409,218.994,219.75
-107503,3.24642e-11,0.000250682,1,2,1,107507,2.39632,1.54698,2.01993,0.434574,-0.781733,0.79197,-0.131513,-0.215137,3.01939,-0.481601,-0.571749,-0.213973,0.310861,0.0968681,-0.481601,3.18724,-0.739598,0.0327775,-0.239865,-0.143032,-0.571749,-0.739598,3.27739,0.181195,-0.0709966,0.0461638,-0.213973,0.0327775,0.181195,1.49547,0.0461638,-0.239865,0.310861,-0.239865,-0.0709966,0.0461638,1.66332,-0.213973,0.0968681,-0.143032,0.0461638,-0.239865,-0.213973,1.75347,0.489482,-0.606558,0.619779,-0.0914833,93.8873,102.976,107.804,139.086,147.217,165.705,166.248,172.265,173.563,177.458,183.442,192.721,197.745,200.559,202.531,211.903,213.469,214.977,219.493,219.916
-107441,0.999546,1.62627e-05,2,3,0,107511,2.39608,1.54697,2.01993,0.434594,-0.781729,0.791958,-0.131513,-0.215387,3.01918,-0.481868,-0.572007,-0.213965,0.310852,0.0968545,-0.481868,3.18699,-0.739818,0.032752,-0.239868,-0.143048,-0.572007,-0.739818,3.27713,0.181213,-0.0709846,0.0461933,-0.213965,0.032752,0.181213,1.49549,0.0461933,-0.239868,0.310852,-0.239868,-0.0709846,0.0461933,1.66331,-0.213965,0.0968545,-0.143048,0.0461933,-0.239868,-0.213965,1.75344,0.489499,-0.606556,0.619767,-0.0914838,94.2383,102.965,107.157,138.492,147.845,164.872,165.887,172.118,173.828,177.836,183.304,192.483,197.33,201.004,202.864,212.605,214.443,215.408,218.436,219.585
-107357,0.998434,2.42618e-05,2,3,0,107446,2.39576,1.54697,2.01995,0.434627,-0.781723,0.791961,-0.131485,-0.215733,3.01889,-0.482227,-0.572377,-0.213991,0.310838,0.0968407,-0.482227,3.1867,-0.740179,0.032802,-0.239867,-0.143026,-0.572377,-0.740179,3.27685,0.181189,-0.0709705,0.0461849,-0.213991,0.032802,0.181189,1.4955,0.0461849,-0.239867,0.310838,-0.239867,-0.0709705,0.0461849,1.6633,-0.213991,0.0968407,-0.143026,0.0461849,-0.239867,-0.213991,1.75345,0.489495,-0.606554,0.619775,-0.0914643,93.7693,103.258,107.429,138.215,146.538,164.93,165.422,171.094,173.134,177.419,183.833,192.605,197.587,200.74,202.403,211.398,214.871,214.895,217.97,220.221
-107109,0.990156,3.99532e-05,2,3,0,107363,2.3947,1.54697,2.01998,0.434678,-0.781723,0.79194,-0.131507,-0.216824,3.01789,-0.483348,-0.573486,-0.213967,0.310853,0.0968329,-0.483348,3.18564,-0.741238,0.032725,-0.239888,-0.143075,-0.573486,-0.741238,3.27578,0.181242,-0.0709653,0.0462417,-0.213967,0.032725,0.181242,1.49557,0.0462417,-0.239888,0.310853,-0.239888,-0.0709653,0.0462417,1.66332,-0.213967,0.0968329,-0.143075,0.0462417,-0.239888,-0.213967,1.75346,0.489524,-0.606554,0.61975,-0.0914795,94.2713,102.71,108.138,138.233,147.241,164.894,165.312,171.524,173.195,177.515,183.478,192.68,197.114,200.693,202.406,212.018,213.279,215.836,217.877,219.56
-106343,0.890857,6.8586e-05,2,3,0,107116,2.39179,1.54697,2.02056,0.434934,-0.781695,0.791926,-0.13151,-0.220504,3.01518,-0.487139,-0.577257,-0.214049,0.310918,0.0968641,-0.487139,3.18297,-0.745047,0.0327122,-0.239938,-0.143142,-0.577257,-0.745047,3.27309,0.181337,-0.0709793,0.0462777,-0.214049,0.0327122,0.181337,1.49602,0.0462777,-0.239938,0.310918,-0.239938,-0.0709793,0.0462777,1.66381,-0.214049,0.0968641,-0.143142,0.0462777,-0.239938,-0.214049,1.75393,0.489543,-0.606537,0.619751,-0.0914828,94.2697,102.739,108.499,137.544,146.667,165.075,166.605,170.993,173.093,177.188,182.592,192.676,197.045,201.198,201.175,211.978,213.405,214.448,218.684,219.869
