# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 13
# data
#   file = ti.dat
# init = 2 (Default)
# random
#   seed = 2282494886
# output
#   file = ti.30modes.13.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30
-47704.6,1,0.000488281,4,15,0,381431,6.8085,0.373197,0.272222,0.270543,5.34964,6.8085,5.34964,5.34964,0,0,0,5.34964,6.8085,5.34964,0,0,0,5.34964,5.34964,6.8085,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,84.6021,145.878,148.032,151.695,154.915,162.782,173.245,189.13,224.226,232.235,234.741,243.805,243.988,247.29,261.025,263.938,265.552,270.538,288.767,292.354,294.523,294.734,294.351,296.97,298.711,323.651,323.843,327.971,335.216,342.015
-47704.6,0,14.3855,0,1,1,47709,6.8085,0.373197,0.272222,0.270543,5.34964,6.8085,5.34964,5.34964,0,0,0,5.34964,6.8085,5.34964,0,0,0,5.34964,5.34964,6.8085,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,85.2226,145.822,148.085,152.086,155.443,162.63,173.087,188.96,224.289,232.462,234.228,243.79,244.059,247.57,261.258,263.329,265.383,270.302,288.747,291.848,294.431,294.924,295.17,297.3,298.515,323.342,323.528,328.143,335.29,342.134
-47704.6,0,2.43117,0,1,1,47708.1,6.8085,0.373197,0.272222,0.270543,5.34964,6.8085,5.34964,5.34964,0,0,0,5.34964,6.8085,5.34964,0,0,0,5.34964,5.34964,6.8085,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,85.4408,145.868,147.815,152.005,154.978,162.748,173.374,188.707,224.804,231.701,234.261,243.172,244.154,247.312,261.388,263.366,265.359,270.807,288.907,291.159,294.067,294.835,295.055,297.105,298.506,323.752,323.838,328.484,335.25,342.169
-47704.6,0,0.239791,0,1,1,47707.6,6.8085,0.373197,0.272222,0.270543,5.34964,6.8085,5.34964,5.34964,0,0,0,5.34964,6.8085,5.34964,0,0,0,5.34964,5.34964,6.8085,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,85.3316,145.924,148.491,151.828,155.008,162.544,173.218,188.771,224.04,231.703,234.636,243.192,244.226,247.216,262.042,263.317,265.466,270.83,288.955,291.723,294.571,295.011,294.594,297.129,298.955,323.737,323.183,327.682,335.588,342.078
-47704.6,0,0.0186273,0,1,1,47706.2,6.8085,0.373197,0.272222,0.270543,5.34964,6.8085,5.34964,5.34964,0,0,0,5.34964,6.8085,5.34964,0,0,0,5.34964,5.34964,6.8085,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,84.919,145.974,148.39,152.008,155.252,162.794,173.302,189.351,224.443,232.042,234.281,242.878,243.715,247.131,261.334,263.314,264.879,270.946,288.6,291.903,294.011,294.949,294.939,297.173,298.555,323.682,324.137,328.081,335.572,342.027
-47704.6,0,0.00130482,0,1,1,47707.8,6.8085,0.373197,0.272222,0.270543,5.34964,6.8085,5.34964,5.34964,0,0,0,5.34964,6.8085,5.34964,0,0,0,5.34964,5.34964,6.8085,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,0,0,0,0,0,0,0.272222,85.4532,145.796,148.137,152.203,154.8,162.595,173.177,188.962,224.137,231.835,234.185,243.302,243.81,247.142,261.389,262.795,265.188,270.41,288.878,291.592,293.921,295.138,294.728,297.091,298.116,323.16,324.151,328.195,335.55,341.956
-42630.2,0.330709,8.85015e-05,7,127,0,47657.8,6.81701,0.373383,0.27989,0.274095,5.31779,6.81701,5.31779,5.31779,0,0,0,5.31779,6.81701,5.31779,0,0,0,5.31779,5.31779,6.81701,0,0,0,0,0,0,0.27989,0,0,0,0,0,0,0.27989,0,0,0,0,0,0,0.27989,86.1592,147.888,149.928,153.988,157.056,165.073,175.942,191.512,227.059,235.383,237.758,246.79,246.622,250.697,264.96,267.693,268.972,274.684,293.157,296.095,298.037,299.149,299.276,301.138,302.498,327.711,327.996,332.756,340.061,346.498
-42600.3,0.999991,1.69335e-05,3,7,0,42631.3,6.81668,0.373417,0.279906,0.274169,5.31752,6.81668,5.31752,5.31752,0,0,0,5.31752,6.81668,5.31752,0,0,0,5.31752,5.31752,6.81668,0,0,0,0,0,0,0.279906,0,0,0,0,0,0,0.279906,0,0,0,0,0,0,0.279906,86.1614,147.611,150.184,153.845,157.289,165.55,175.586,191.88,227.054,235.074,237.859,246.872,247.349,250.596,264.827,267.762,269.095,274.128,293.117,295.813,297.623,298.593,299.102,300.879,302.409,327.721,328.102,332.375,339.985,346.782
-42438.1,1,2.79249e-05,4,15,0,42601.7,6.8178,0.373588,0.280094,0.274519,5.31832,6.8178,5.31832,5.31832,0,0,0,5.31832,6.8178,5.31832,0,0,0,5.31832,5.31832,6.8178,0,0,0,0,0,0,0.280094,0,0,0,0,0,0,0.280094,0,0,0,0,0,0,0.280094,85.7609,147.709,150.399,154.394,156.354,165.29,175.91,191.506,227.567,235.339,237.889,246.255,247.439,251.048,265.103,267.364,268.94,274.432,293.255,295.84,298.609,298.348,299.257,301.117,302.313,327.876,328.294,332.655,339.967,346.432
-41779.9,1,4.93655e-05,4,15,0,42438.6,6.81953,0.374606,0.280857,0.275884,5.32005,6.81953,5.32005,5.32005,0,0,0,5.32005,6.81953,5.32005,0,0,0,5.32005,5.32005,6.81953,0,0,0,0,0,0,0.280857,0,0,0,0,0,0,0.280857,0,0,0,0,0,0,0.280857,86.5802,148.402,149.766,154.453,157.317,165.288,176.451,191.446,227.714,235.158,237.912,246.169,247.824,250.851,265.84,267.791,268.792,274.849,292.966,296.124,298.35,298.707,299.522,301.245,302.364,328.742,328.328,333.197,340.717,346.356
-41736.3,1,9.13545e-05,2,3,0,41782,6.81828,0.374695,0.280904,0.275971,5.3189,6.81828,5.3189,5.3189,0,0,0,5.3189,6.81828,5.3189,0,0,0,5.3189,5.3189,6.81828,0,0,0,0,0,0,0.280904,0,0,0,0,0,0,0.280904,0,0,0,0,0,0,0.280904,86.4932,148.39,150.178,154.254,157.23,165.477,175.935,191.834,227.553,235.678,238.455,246.151,248.049,251.204,265.662,267.332,269.425,274.541,292.872,296.511,298.718,299.722,299.87,301.557,302.341,328.373,328.437,332.897,340.668,346.554
-39357.5,1,0.000174103,3,7,0,41734.7,6.81958,0.379692,0.282647,0.281363,5.33075,6.81958,5.33075,5.33075,0,0,0,5.33075,6.81958,5.33075,0,0,0,5.33075,5.33075,6.81958,0,0,0,0,0,0,0.282647,0,0,0,0,0,0,0.282647,0,0,0,0,0,0,0.282647,86.593,148.517,150.941,154.398,157.727,165.738,176.53,192.415,227.77,236.197,238.649,245.714,248.859,251.258,265.823,267.958,269.967,274.325,293.591,296.738,299.329,299.501,300.164,300.944,303.344,329.173,328.876,333.124,341.066,345.562
-37468.4,1,0.000337805,2,3,0,39345.4,6.82006,0.383267,0.283607,0.286544,5.34012,6.82006,5.34012,5.34012,0,0,0,5.34012,6.82006,5.34012,0,0,0,5.34012,5.34012,6.82006,0,0,0,0,0,0,0.283607,0,0,0,0,0,0,0.283607,0,0,0,0,0,0,0.283607,86.9761,148.031,151.191,154.743,158.159,166.124,176.814,192.939,227.73,236.285,239.318,244.868,248.507,251.08,266.499,268.587,270.067,274.038,293.686,297.425,299.754,299.171,299.416,300.679,303.514,329.536,329.835,332.924,340.945,344.974
-31387,0.714286,0.000661847,3,7,0,37319.5,6.80307,0.398123,0.28719,0.305478,5.36036,6.80307,5.36036,5.36036,0,0,0,5.36036,6.80307,5.36036,0,0,0,5.36036,5.36036,6.80307,0,0,0,0,0,0,0.28719,0,0,0,0,0,0,0.28719,0,0,0,0,0,0,0.28719,87.6011,148.132,151.862,154.66,159.25,167.305,177.432,193.736,227.794,236.134,241.389,241.987,249.53,251.97,267.393,269.575,271.213,273.423,293.811,296.07,298.575,299.186,300.092,301.835,303.173,330.114,330.973,332.647,340.191,342.925
-28596.2,0.714286,0.000534113,3,7,0,31342.3,6.81043,0.406249,0.288959,0.316408,5.38787,6.81043,5.38787,5.38787,0,0,0,5.38787,6.81043,5.38787,0,0,0,5.38787,5.38787,6.81043,0,0,0,0,0,0,0.288959,0,0,0,0,0,0,0.288959,0,0,0,0,0,0,0.288959,87.1419,147.726,152.099,154.52,160.016,167.633,178.251,194.133,227.837,235.934,239.875,241.154,249.03,252.256,267.791,270.217,272.848,272.759,293.553,295.105,297.9,300.046,300.686,301.989,303.527,330.452,330.868,332.934,338.19,343.042
